target	targetLabel	skill	skillLabel	score	sharedTokens
https://training.gov.au/training/details/BSBXCS404	Contribute to cyber security risk management	https://test.linked.data.gov.au/def/nst/SK051803	Cyber Threat Identification	1	cyber
https://training.gov.au/training/details/BSBXCS404	Contribute to cyber security risk management	https://test.linked.data.gov.au/def/nst/SK121207	Ict Policy Access Management	1	management
https://training.gov.au/training/details/BSBXCS404	Contribute to cyber security risk management	https://test.linked.data.gov.au/def/nst/SK127626	Web Directory Structure Management	1	management
https://training.gov.au/training/details/BSBXCS404	Contribute to cyber security risk management	https://test.linked.data.gov.au/def/nst/SK127629	Web Ftp Transfer Management	1	management
https://training.gov.au/training/details/BSBXCS404	Contribute to cyber security risk management	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	2	cyber security
https://training.gov.au/training/details/BSBXCS404	Contribute to cyber security risk management	https://test.linked.data.gov.au/def/nst/SK051808	Personal Information Data Management	1	management
https://training.gov.au/training/details/ICTICT451	Comply with IP, ethics and privacy policies in ICT environments	https://test.linked.data.gov.au/def/nst/SK051925	Privacy Policy Application	1	privacy
https://training.gov.au/training/details/BSBPEF402	Develop personal work priorities	https://test.linked.data.gov.au/def/nst/SK051808	Personal Information Data Management	1	personal
https://training.gov.au/training/details/ICTICT424	Address cyber security requirements	https://test.linked.data.gov.au/def/nst/SK051803	Cyber Threat Identification	1	cyber
https://training.gov.au/training/details/ICTICT424	Address cyber security requirements	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	2	cyber security
https://training.gov.au/training/details/ICTWEB434	Transfer content to websites	https://test.linked.data.gov.au/def/nst/SK127629	Web Ftp Transfer Management	1	transfer
https://training.gov.au/training/details/ICTSAS446	Fault find and troubleshoot ICT equipment, hardware and software problems	https://test.linked.data.gov.au/def/nst/SK051921	Infrastructure Fault Reporting	1	fault
https://training.gov.au/training/details/ICTSAS440	Monitor and administer security of ICT systems	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	1	security
https://training.gov.au/training/details/ICTAUT401	Design business process automation solutions	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTCYS401	Design and implement network security infrastructure for an organisation	https://test.linked.data.gov.au/def/nst/SK122518	Network Operating System Feature Assessment	1	network
https://training.gov.au/training/details/ICTCYS401	Design and implement network security infrastructure for an organisation	https://test.linked.data.gov.au/def/nst/SK122519	Network Os Upgrade Strategy	1	network
https://training.gov.au/training/details/ICTCYS401	Design and implement network security infrastructure for an organisation	https://test.linked.data.gov.au/def/nst/SK122493	Network Systems Problem Solving	1	network
https://training.gov.au/training/details/ICTCYS401	Design and implement network security infrastructure for an organisation	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTCYS401	Design and implement network security infrastructure for an organisation	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	1	security
https://training.gov.au/training/details/ICTCYS401	Design and implement network security infrastructure for an organisation	https://test.linked.data.gov.au/def/nst/SK051921	Infrastructure Fault Reporting	1	infrastructure
https://training.gov.au/training/details/ICTCYS402	Identify and confirm cyber security incidents	https://test.linked.data.gov.au/def/nst/SK051803	Cyber Threat Identification	1	cyber
https://training.gov.au/training/details/ICTCYS402	Identify and confirm cyber security incidents	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	2	cyber security
https://training.gov.au/training/details/ICTCYS403	Plan and implement information security strategies for an organisation	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	1	security
https://training.gov.au/training/details/ICTCYS405	Develop cyber security incident response plans	https://test.linked.data.gov.au/def/nst/SK051803	Cyber Threat Identification	1	cyber
https://training.gov.au/training/details/ICTCYS405	Develop cyber security incident response plans	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	2	cyber security
https://training.gov.au/training/details/ICTCYS406	Respond to cyber security incidents	https://test.linked.data.gov.au/def/nst/SK051803	Cyber Threat Identification	1	cyber
https://training.gov.au/training/details/ICTCYS406	Respond to cyber security incidents	https://test.linked.data.gov.au/def/nst/SK051918	Cyber Security Stakeholder Consultation	2	cyber security
https://training.gov.au/training/details/ICTCYS407	Gather, analyse and interpret threat data	https://test.linked.data.gov.au/def/nst/SK051803	Cyber Threat Identification	1	threat
https://training.gov.au/training/details/ICTDMT404	Create visual design components for digital media	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTDSN401	Design digital user interfaces	https://test.linked.data.gov.au/def/nst/SK121266	End User Device Analysis	1	user
https://training.gov.au/training/details/ICTDSN401	Design digital user interfaces	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTDSN402	Develop digital user interfaces	https://test.linked.data.gov.au/def/nst/SK121266	End User Device Analysis	1	user
https://training.gov.au/training/details/ICTGAM421	Identify and apply games design and game play principles	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTGAM422	Create design documents for interactive games	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTGAM425	Create visual design components in interactive games	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTGAM430	Design interactive media	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTGAM431	Design and create 3-D digital models	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTICT432	Develop detailed technical design	https://test.linked.data.gov.au/def/nst/SK125531	Ict Technical Instruction	1	technical
https://training.gov.au/training/details/ICTICT432	Develop detailed technical design	https://test.linked.data.gov.au/def/nst/SK127636	Web Text Design	1	design
https://training.gov.au/training/details/ICTICT433	Build graphical user interfaces	https://test.linked.data.gov.au/def/nst/SK121266	End User Device Analysis	1	user
https://training.gov.au/training/details/ICTICT435	Create technical documentation	https://test.linked.data.gov.au/def/nst/SK125531	Ict Technical Instruction	1	technical
https://training.gov.au/training/details/ICTICT435	Create technical documentation	https://test.linked.data.gov.au/def/nst/SK125525	Ict Documentation Development	1	documentation
https://training.gov.au/training/details/ICTICT444	Develop client user interfaces	https://test.linked.data.gov.au/def/nst/SK121266	End User Device Analysis	1	user
https://training.gov.au/training/details/ICTICT446	Apply ICT service management principles	https://test.linked.data.gov.au/def/nst/SK121207	Ict Policy Access Management	1	management
https://training.gov.au/training/details/ICTICT446	Apply ICT service management principles	https://test.linked.data.gov.au/def/nst/SK127626	Web Directory Structure Management	1	management
https://training.gov.au/training/details/ICTICT446	Apply ICT service management principles	https://test.linked.data.gov.au/def/nst/SK127629	Web Ftp Transfer Management	1	management
https://training.gov.au/training/details/ICTICT446	Apply ICT service management principles	https://test.linked.data.gov.au/def/nst/SK051808	Personal Information Data Management	1	management
https://training.gov.au/training/details/ICTICT453	Evaluate accessibility of organisational systems, programs and software	https://test.linked.data.gov.au/def/nst/SK127623	Web Page Accessibility Assessment	1	accessibility
https://training.gov.au/training/details/ICTNWK421	Install, configure and test network security	https://test.linked.data.gov.au/def/nst/SK122518	Network Operating System Feature Assessment	1	network
https://training.gov.au/training/details/ICTNWK421	Install, configure and test network security	https://test.linked.data.gov.au/def/nst/SK122519	Network Os Upgrade Strategy	1	network
