copilot_item,nst_skill_id,nst_prefLabel
Conduct initial antenatal assessment,,
Monitor maternal vital signs,,
Perform abdominal palpation,,
Assess fetal growth and position,,
Order and interpret antenatal screening tests,,
Provide antenatal education,,
Screen for gestational diabetes,,
Monitor weight and nutrition,,
Assess psychosocial wellbeing,,
Document antenatal visits,,
Intrapartum Care,,
Provide labour support,,
Monitor fetal heart rate,,
Conduct vaginal examinations,,
Administer pain relief under protocol,,
Assist with normal vaginal delivery,,
Manage third stage of labour,,
Recognise and escalate obstetric emergencies,,
Support partner involvement,,
Document intrapartum care,,
Coordinate transfer to higher-level care,,
Postnatal Care,sk110258,Postnatal Care Strategy
Conduct postnatal checks for mother,,
Monitor uterine involution,,
Assess lochia and wound healing,,
Provide breastfeeding support,,
Screen for postnatal depression,,
Educate on contraception options,,
Support parenting skills,,
Monitor maternal nutrition,,
Document postnatal visits,,
Coordinate referrals for specialist care,,
Neonatal Care,,
Perform newborn physical examination,,
Monitor neonatal vital signs,,
Support breastfeeding initiation,,
Educate on safe sleeping practices,,
Monitor weight and growth,,
Screen for neonatal jaundice,,
Administer neonatal immunisations,,
Support bonding and attachment,,
Document neonatal assessments,,
Refer for specialist neonatal care,,
Assessment & Screening,,
Conduct maternal mental health screening,,
Screen for domestic violence,,
Assess social determinants of health,,
Perform urine dipstick tests,,
"Interpret blood results (Hb, glucose)",,
Screen for infections (STIs),,
Assess immunisation status,,
Monitor blood pressure trends,,
Evaluate fetal movements,,
Document screening outcomes,,
Clinical Procedures,,
"Administer injections (IM, SC)",,
Insert urinary catheter,,
Perform venepuncture,,
Apply perineal sutures,,
Manage IV fluids,,
Assist with minor surgical procedures,,
Monitor infusion pumps,,
Perform neonatal heel prick tests,,
Apply compression bandages,,
Maintain aseptic technique,,
Medication Management,sk110344,Medication Infection Control Management
Administer prescribed medications,,
Monitor medication side effects,,
Educate on medication adherence,,
Manage cold chain for vaccines,,
Document medication administration,,
Supply medications under standing orders,,
Assist with medication reconciliation,,
Prescribe under midwife prescribing rights,,
Monitor analgesia use in labour,,
Educate on safe medication use in pregnancy,,
Health Promotion & Education,sk055016,Child Health Promotion Education
Provide antenatal education sessions,,
Educate on breastfeeding techniques,,
Promote healthy eating during pregnancy,,
Educate on exercise in pregnancy,,
Provide contraception education,,
Educate on safe sleeping for infants,,
Promote immunisation uptake,,
Provide culturally safe health education,,
Conduct group parenting classes,,
Develop educational resources,,
Mental Health Support,sk057396,Mental Health Recovery Support
Screen for perinatal depression,,
Provide emotional support during pregnancy,,
Facilitate referral to mental health services,,
Support culturally safe mental health care,,
Educate on stress management techniques,,
Assist with crisis intervention referrals,,
Coordinate care for clients with complex needs,,
Promote mental health awareness in community,,
Provide counselling under supervision,,
Document mental health interventions,,
Care Planning & Coordination,sk108917,Care Coordination
Develop multidisciplinary care plans,,
Coordinate with GPs and specialists,,
Case conferencing participation,,
Referral to allied health professionals,,
Discharge planning from hospital,,
Documentation in shared health records,,
Telehealth follow-up coordination,,
Escalation protocols for red flags,,
Community resource linkage,,
NDIS plan contribution,,
Digital Health & Telehealth,,
Provide telehealth consultations,,
Use electronic health records,,
Develop digital health education resources,,
Participate in virtual MDT meetings,,
Implement remote monitoring tools,,
Research & Quality Improvement,,
Collect outcome measures,,
Audit clinical practice,,
Participate in research projects,,
Publish in peer-reviewed journals,,
Present at conferences,,
Implement evidence-based guidelines,,
Quality improvement initiatives,,
Mentor students in research,,
Data analysis for service improvement,,
Develop clinical protocols,,
Leadership & Governance,,
Lead midwifery teams,,
Manage clinical risk,,
Contribute to accreditation processes,,
Participate in policy development,,
Chair clinical meetings,,
Support change management,,
Mentor junior staff,,
Ensure compliance with regulations,,
Advocate for maternity services,,
Lead health initiatives,,
Educate patients on medication use,,
Manage medication storage and cold chain,,
Prepare medications for administration,,
Controlled drug administration under protocol,,
Document medication administration accurately,,
