?part	?partLabel	?partDesc	?partCode
<https://www.canberra.edu.au/unit/11484>	"Network Architecture"	""	"11484"
<https://www.canberra.edu.au/unit/11485>	"Introduction to Network Engineering"	""	"11485"
<https://www.canberra.edu.au/unit/11759>	"Information Security"	""	"11759"
<https://www.canberra.edu.au/unit/11488>	"Security and Support in IT"	""	"11488"
<https://www.canberra.edu.au/unit/11906>	"Introduction to Cyber Security"	""	"11906"
<https://www.canberra.edu.au/unit/11514>	"System and Network Administration"	""	"11514"
<https://www.canberra.edu.au/unit/4483>	"Software Technology 1"	""	"4483"
<https://www.canberra.edu.au/unit/8019>	"Computer and Network Security"	""	"8019"
<https://www.canberra.edu.au/unit/11907>	"Advanced Cyber Security"	""	"11907"
<https://www.canberra.edu.au/unit/9074>	"Introduction to Digital Forensics"	""	"9074"
<https://www.canberra.edu.au/unit/9788>	"Contemporary IT & E Issues"	""	"9788"
