skill_id,asced4
SK210164,0921
SK210160,0921
SK210169,0921
SK210168,0807
SK210162,0699
SK210188,0921
SK210187,0921
SK210183,0921
SK210621,0807
SK209896,0699
SK209918,0699
SK111092,0601
SK111089,0699
SK111087,0601
SK111091,0203
SK072440,0913
SK072445,0913
SK072444,0203
SK069547,0909
SK069539,0909
SK069541,0805
SK069552,0909
SK069559,0909
SK069556,0909
SK070452,0909
SK070451,0909
SK217015,0811
SK217021,0805
SK217017,0899
SK064252,0309
SK064249,0309
SK064255,0309
SK064259,0309
SK064248,0309
SK064246,0309
SK064254,0403
SK064253,0403
SK105591,0505
SK105584,0505
SK105580,0803
SK105587,0505
SK105581,0301
SK105585,0505
SK146802,0203
SK146803,0203
SK146796,0303
SK146790,0203
SK146794,0203
SK146799,0313
SK146800,0203
SK146793,0203
SK146791,0203
SK178502,0899
SK178511,0899
SK178182,0899
SK115568,0809
SK115580,0299
SK115570,0299
SK222129,0309
SK222030,0309
SK222038,0803
SK222037,0399
SK222033,0899
SK219017,0703
SK219025,0799
SK219018,0703
SK219011,0701
SK004975,0505
SK105818,1007
SK105810,0313
SK105812,0505
SK105809,0299
SK105814,0505
SK017856,0501
SK017868,0509
SK017866,0501
SK208922,0805
SK208927,0401
SK208920,0805
SK207639,0805
SK207642,0805
SK207650,0805
SK207641,0805
SK157063,1205
SK157065,0907
SK157069,0509
SK211030,0803
SK211040,0501
SK211037,0799
SK211042,0501
SK211036,0805
SK088018,0311
SK088014,0311
SK088028,0311
SK088026,0311
SK087981,0199
SK087993,0101
SK088005,0201
SK087974,0201
SK087962,0315
SK087963,0311
SK087965,0799
SK087967,0399
SK119416,0201
SK119411,0199
SK119415,0199
SK119408,0911
SK119413,0199
SK057756,0811
SK057762,0899
SK057753,0909
SK057751,0899
SK057763,0899
SK057764,0899
SK088804,0399
SK032661,0921
SK032656,0921
SK032667,0305
SK032657,0921
SK032663,0921
SK032660,0803
SK180718,0903
SK180714,0911
SK180715,0909
SK180374,0909
SK180712,0909
SK180706,0909
SK180369,0911
SK180382,0905
SK180709,0803
SK180711,0909
SK203110,0509
SK203118,0509
SK203108,0109
SK203115,1007
SK203114,0509
SK203112,0509
SK203106,0509
SK125675,0203
SK125680,0703
SK125671,0299
SK125672,0299
SK125669,0203
SK125676,0203
SK188454,0201
SK188453,0201
SK188450,0313
SK160928,0919
SK160921,0399
SK160929,0803
SK160923,0803
SK160915,0399
SK160831,0803
SK160827,0303
SK160913,0315
SK160911,0303
SK149505,0401
SK149514,0403
SK110588,0617
SK110594,0619
SK110598,0619
SK110590,0907
SK110587,0903
SK110601,0699
SK110599,0619
SK075570,0613
SK075574,0613
SK075575,0803
SK075563,0699
SK075565,0803
SK075562,0613
SK075567,0603
SK075572,0613
SK075571,0907
SK075573,0803
SK116561,0299
SK116569,1007
SK116562,0299
SK116570,0203
SK116563,0203
SK116559,0203
SK116566,0299
SK112991,0617
SK112981,0921
SK112979,0921
SK112989,0617
SK112988,0617
SK112984,0617
SK112935,0617
SK112933,0617
SK112944,0617
SK112938,0617
SK112939,0913
SK052037,0401
SK114283,0619
SK114276,0619
SK114273,0617
SK114275,0617
SK114269,0619
SK114423,0617
SK114436,0619
SK114424,0617
SK114426,0619
SK114433,0617
SK114432,0617
SK156129,0803
SK156131,1205
SK114608,0617
SK114616,0617
SK027902,0307
SK027892,0305
SK027895,0305
SK219001,0703
SK219004,1201
SK219005,1201
SK218999,0701
SK177922,0803
SK213407,0803
SK086504,0909
SK086507,0909
SK086510,0909
SK086503,0911
SK043098,0909
SK043106,0805
SK043104,0805
SK121358,0299
SK121357,0101
SK121356,0299
SK121352,0201
SK052480,0603
SK052483,0613
SK054712,0911
SK054709,1203
SK054710,1203
SK054708,1203
SK054702,0999
SK129552,0317
SK129548,0317
SK129550,0317
SK202417,0899
SK202415,0507
SK202418,0507
SK202419,0507
SK202421,0507
SK169879,0101
SK169886,0301
SK221368,0309
SK221362,0309
SK221374,0309
SK146060,0899
SK146057,0301
SK146052,0303
SK223966,0699
SK182560,0911
SK038528,0315
SK038533,0315
SK038531,0315
SK038527,0313
SK184870,0899
SK176606,0909
SK176605,0909
SK176603,0909
SK176602,0909
SK176611,0909
SK000739,0611
SK000745,0611
SK000738,0611
SK000744,0611
SK000747,0611
SK128994,0309
SK128989,0309
SK128993,0909
SK128996,0305
SK128998,0309
SK129000,0909
SK129001,0899
SK108923,0299
SK108928,0613
SK108855,0603
SK108922,0909
SK108926,0203
SK108924,0613
SK108856,0203
SK108846,0801
SK108920,0601
SK108917,0905
SK112462,0605
SK112458,0603
SK112460,0605
SK111853,0605
SK111854,0605
SK111848,0603
SK111842,0603
SK111843,0611
SK111841,0605
SK111844,0605
SK111840,0603
SK000471,0913
SK000473,0501
SK000480,0909
SK000478,1007
SK080836,0801
SK080841,1099
SK080833,0909
SK080831,0803
SK080839,0909
SK080842,0801
SK080834,0801
SK102663,0811
SK102668,0811
SK102667,0811
SK102671,0811
SK223912,0305
SK223919,0909
SK223913,0909
SK102453,0801
SK102461,0905
SK102450,0899
SK102455,0811
SK102456,0803
SK102459,0801
SK102462,0803
SK102458,0909
SK102277,0899
SK102278,0909
SK102285,0811
SK102275,0909
SK102276,0801
