skill_id,suffix
SK210164,APP
SK210160,APP
SK210169,ANA
SK210168,EVA
SK210162,EVA
SK210188,APP
SK210187,APP
SK210183,APP
SK210621,EVA
SK209896,APP
SK209918,APP
SK111092,EVA
SK111089,APP
SK111087,ANA
SK111091,EVA
SK072440,APP
SK072445,APP
SK072444,APP
SK069547,UND
SK069539,EVA
SK069541,APP
SK069552,ANA
SK069559,ANA
SK069556,ANA
SK070452,APP
SK070451,EVA
SK217015,ANA
SK217021,ANA
SK217017,ANA
SK064252,ANA
SK064249,ANA
SK064255,EVA
SK064259,EVA
SK064248,EVA
SK064246,ANA
SK064254,APP
SK064253,ANA
SK105591,EVA
SK105584,APP
SK105580,UND
SK105587,REM
SK105581,EVA
SK105585,APP
SK146802,ANA
SK146803,ANA
SK146796,EVA
SK146790,EVA
SK146794,ANA
SK146799,EVA
SK146800,APP
SK146793,APP
SK146791,APP
SK178502,APP
SK178511,APP
SK178182,APP
SK115568,APP
SK115580,APP
SK115570,APP
SK222129,APP
SK222030,ANA
SK222038,APP
SK222037,APP
SK222033,APP
SK219017,CRE
SK219025,APP
SK219018,EVA
SK219011,CRE
SK004975,APP
SK105818,CRE
SK105810,APP
SK105812,ANA
SK105809,APP
SK105814,APP
SK017856,EVA
SK017868,ANA
SK017866,ANA
SK208922,ANA
SK208927,CRE
SK208920,ANA
SK207639,ANA
SK207642,EVA
SK207650,EVA
SK207641,APP
SK157063,APP
SK157065,ANA
SK157069,ANA
SK211030,EVA
SK211040,APP
SK211037,CRE
SK211042,APP
SK211036,EVA
SK088018,APP
SK088014,ANA
SK088028,ANA
SK088026,APP
SK087981,ANA
SK087993,ANA
SK088005,EVA
SK087974,CRE
SK087962,ANA
SK087963,APP
SK087965,ANA
SK087967,APP
SK119416,ANA
SK119411,EVA
SK119415,EVA
SK119408,APP
SK119413,APP
SK057756,APP
SK057762,APP
SK057753,CRE
SK057751,EVA
SK057763,APP
SK057764,ANA
SK088804,ANA
SK032661,EVA
SK032656,EVA
SK032667,EVA
SK032657,EVA
SK032663,APP
SK032660,EVA
SK180718,APP
SK180714,EVA
SK180715,UND
SK180374,EVA
SK180712,EVA
SK180706,EVA
SK180369,EVA
SK180382,UND
SK180709,APP
SK180711,APP
SK203110,EVA
SK203118,EVA
SK203108,APP
SK203115,APP
SK203114,CRE
SK203112,ANA
SK203106,ANA
SK125675,CRE
SK125680,CRE
SK125671,APP
SK125672,ANA
SK125669,APP
SK125676,ANA
SK188454,APP
SK188453,ANA
SK188450,APP
SK160928,ANA
SK160921,EVA
SK160929,CRE
SK160923,EVA
SK160915,ANA
SK160831,CRE
SK160827,CRE
SK160913,ANA
SK160911,ANA
SK149505,UND
SK149514,EVA
SK110588,ANA
SK110594,CRE
SK110598,EVA
SK110590,EVA
SK110587,ANA
SK110601,ANA
SK110599,EVA
SK075570,APP
SK075574,APP
SK075575,APP
SK075563,ANA
SK075565,ANA
SK075562,CRE
SK075567,APP
SK075572,EVA
SK075571,ANA
SK075573,APP
SK116561,APP
SK116569,ANA
SK116562,EVA
SK116570,EVA
SK116563,EVA
SK116559,UND
SK116566,APP
SK112991,EVA
SK112981,EVA
SK112979,APP
SK112989,CRE
SK112988,CRE
SK112984,EVA
SK112935,APP
SK112933,ANA
SK112944,ANA
SK112938,ANA
SK112939,APP
SK052037,CRE
SK114283,CRE
SK114276,APP
SK114273,APP
SK114275,EVA
SK114269,ANA
SK114423,CRE
SK114436,EVA
SK114424,EVA
SK114426,EVA
SK114433,CRE
SK114432,APP
SK156129,ANA
SK156131,APP
SK114608,EVA
SK114616,APP
SK027902,CRE
SK027892,ANA
SK027895,CRE
SK219001,CRE
SK219004,EVA
SK219005,APP
SK218999,APP
SK177922,EVA
SK213407,ANA
SK086504,ANA
SK086507,APP
SK086510,APP
SK086503,APP
SK043098,UND
SK043106,ANA
SK043104,EVA
SK121358,EVA
SK121357,EVA
SK121356,ANA
SK121352,CRE
SK052480,ANA
SK052483,CRE
SK054712,EVA
SK054709,CRE
SK054710,ANA
SK054708,ANA
SK054702,ANA
SK129552,ANA
SK129548,ANA
SK129550,APP
SK202417,APP
SK202415,EVA
SK202418,ANA
SK202419,ANA
SK202421,UND
SK169879,APP
SK169886,EVA
SK221368,ANA
SK221362,APP
SK221374,APP
SK146060,APP
SK146057,APP
SK146052,CRE
SK223966,EVA
SK182560,EVA
SK038528,ANA
SK038533,UND
SK038531,ANA
SK038527,APP
SK184870,APP
SK176606,ANA
SK176605,UND
SK176603,EVA
SK176602,UND
SK176611,EVA
SK000739,APP
SK000745,EVA
SK000738,APP
SK000744,APP
SK000747,APP
SK128994,APP
SK128989,EVA
SK128993,UND
SK128996,ANA
SK128998,EVA
SK129000,CRE
SK129001,APP
SK108923,APP
SK108928,CRE
SK108855,APP
SK108922,APP
SK108926,ANA
SK108924,EVA
SK108856,EVA
SK108846,APP
SK108920,UND
SK108917,APP
SK112462,EVA
SK112458,EVA
SK112460,APP
SK111853,UND
SK111854,EVA
SK111848,ANA
SK111842,ANA
SK111843,APP
SK111841,ANA
SK111844,APP
SK111840,EVA
SK000471,ANA
SK000473,ANA
SK000480,EVA
SK000478,APP
SK080836,APP
SK080841,APP
SK080833,APP
SK080831,EVA
SK080839,ANA
SK080842,APP
SK080834,APP
SK102663,EVA
SK102668,APP
SK102667,APP
SK102671,UND
SK223912,APP
SK223919,UND
SK223913,UND
SK102453,APP
SK102461,ANA
SK102450,EVA
SK102455,EVA
SK102456,EVA
SK102459,ANA
SK102462,EVA
SK102458,ANA
SK102277,EVA
SK102278,EVA
SK102285,ANA
SK102275,APP
SK102276,APP
SK102279,APP
SK102283,ANA
SK102301,EVA
SK102296,CRE
SK102290,EVA
SK102293,APP
SK102289,EVA
SK088315,APP
SK088316,APP
SK231289,APP
SK231280,CRE
SK231283,CRE
SK231282,APP
SK184486,ANA
SK184485,APP
SK184478,EVA
SK184482,EVA
SK176526,EVA
SK176523,ANA
SK176521,APP
SK176518,ANA
SK176524,EVA
SK176529,APP
SK176520,APP
SK176519,ANA
SK176595,UND
SK178890,ANA
SK178901,APP
SK178891,APP
SK178900,APP
SK207104,APP
SK207103,APP
SK207097,ANA
SK207094,APP
SK207101,APP
SK207095,APP
SK214318,APP
SK214317,ANA
SK214324,ANA
SK006416,EVA
SK006412,APP
SK006415,APP
SK101408,ANA
SK101410,UND
SK178841,EVA
SK178843,ANA
SK178870,APP
SK178837,APP
SK178839,APP
SK070594,ANA
SK070590,APP
SK070597,APP
SK070598,ANA
SK070591,APP
SK228962,APP
SK228975,APP
SK174280,EVA
SK181033,ANA
SK181040,APP
SK228986,ANA
SK228983,APP
SK228989,APP
SK010658,CRE
SK110345,APP
SK110344,APP
SK110343,EVA
SK110346,APP
SK080871,ANA
SK080867,APP
SK080862,APP
SK080861,EVA
SK080864,EVA
SK080869,ANA
SK122538,ANA
SK122529,APP
SK122537,ANA
SK122533,APP
SK102237,APP
SK102228,APP
SK102233,APP
SK102234,APP
SK102242,ANA
SK102236,UND
SK102256,EVA
SK182914,ANA
SK182903,APP
SK182909,EVA
SK182913,APP
SK182910,UND
SK044203,APP
SK044201,EVA
SK044199,EVA
SK044196,CRE
SK102332,CRE
SK102328,ANA
SK102325,CRE
SK102320,APP
SK102327,EVA
SK102324,CRE
SK128987,CRE
SK128983,ANA
SK128986,EVA
SK128976,ANA
SK128625,APP
SK128626,APP
SK128627,APP
SK128628,APP
SK128629,EVA
SK128634,APP
SK097538,ANA
SK097479,ANA
SK097476,CRE
SK097473,EVA
SK097480,ANA
SK097536,APP
SK097478,APP
SK097484,EVA
SK201928,EVA
SK201937,ANA
SK224153,ANA
SK224152,CRE
SK224144,APP
SK058750,APP
SK058748,APP
SK058751,APP
SK058760,EVA
SK058755,APP
SK058749,EVA
SK080353,ANA
SK080356,EVA
SK080354,EVA
SK080360,CRE
SK080363,ANA
SK080364,APP
SK102366,EVA
SK102369,CRE
SK102374,EVA
SK102371,APP
SK102372,APP
SK102368,APP
SK102364,CRE
SK069132,ANA
SK069133,UND
SK069129,ANA
SK102361,EVA
SK102350,ANA
SK102353,APP
SK102354,EVA
SK102363,EVA
SK102349,CRE
SK153285,EVA
SK153291,UND
SK153294,UND
SK153293,APP
SK153284,EVA
SK153295,EVA
SK153287,APP
SK153290,ANA
SK153292,ANA
SK151796,APP
SK151794,APP
SK151799,APP
SK151802,ANA
SK151805,EVA
SK071939,EVA
SK071933,CRE
SK227386,APP
SK227621,APP
SK227389,APP
SK227629,APP
SK227385,APP
SK227616,APP
SK227394,APP
SK227391,CRE
SK227360,ANA
SK227364,EVA
SK227366,CRE
SK227365,CRE
SK227355,EVA
SK002983,EVA
SK002979,CRE
SK002975,EVA
SK002972,EVA
SK002974,EVA
SK002977,EVA
SK203641,ANA
SK203643,APP
SK203675,EVA
SK203647,APP
SK203673,ANA
SK203678,APP
SK203666,APP
SK203637,APP
SK067788,EVA
SK067795,CRE
SK067793,APP
SK067778,CRE
SK006999,CRE
SK006994,EVA
SK067683,EVA
SK067672,ANA
SK067673,ANA
SK067677,ANA
SK067675,ANA
SK067670,EVA
SK067668,EVA
SK067666,EVA
SK208834,APP
SK208837,UND
SK208828,APP
SK208840,APP
SK208842,APP
SK208848,APP
SK208849,APP
SK208845,EVA
SK067820,EVA
SK067818,ANA
SK067824,EVA
SK067813,ANA
SK067819,ANA
SK067827,CRE
SK067816,EVA
SK067798,ANA
SK067806,EVA
SK067804,ANA
SK067799,EVA
SK067805,ANA
SK039619,UND
SK039618,APP
SK039610,EVA
SK072009,CRE
SK072002,CRE
SK180233,ANA
SK180232,CRE
SK180239,ANA
SK180228,CRE
SK180226,ANA
SK180230,EVA
SK206621,UND
SK206618,UND
SK206619,APP
SK206624,APP
SK208809,APP
SK072632,ANA
SK072628,UND
SK072633,UND
SK187773,EVA
SK187768,EVA
SK187772,APP
SK187769,EVA
SK187767,APP
SK187777,REM
SK187774,UND
SK182272,APP
SK182280,EVA
SK108800,APP
SK108796,ANA
SK233342,APP
SK098391,ANA
SK098433,CRE
SK098400,UND
SK098396,EVA
SK098394,EVA
SK098389,EVA
SK098434,EVA
SK107936,EVA
SK107930,APP
SK127462,CRE
SK127454,CRE
SK127453,APP
SK101086,EVA
SK101085,EVA
SK101184,APP
SK101088,ANA
SK101185,EVA
SK101081,UND
SK101075,CRE
SK101181,CRE
SK101076,APP
SK101080,EVA
SK101074,EVA
SK101077,EVA
SK101180,EVA
SK101079,EVA
SK226060,ANA
SK226058,ANA
SK226055,APP
SK226063,ANA
SK226061,EVA
SK226056,EVA
SK216865,APP
SK216874,APP
SK216864,CRE
SK216873,EVA
SK216870,CRE
SK118145,APP
SK118151,APP
SK147094,EVA
SK208087,APP
SK208085,CRE
SK219087,ANA
SK219088,CRE
SK219089,CRE
SK219093,APP
SK219094,EVA
SK219102,EVA
SK219104,EVA
SK219097,CRE
SK219109,APP
SK054741,ANA
SK054743,APP
SK054739,ANA
SK058580,ANA
SK058577,ANA
SK058578,UND
SK058575,ANA
SK058581,EVA
SK058572,UND
SK058579,ANA
SK023103,EVA
SK023101,CRE
SK023095,EVA
SK023097,APP
SK023100,APP
SK028715,ANA
SK028719,APP
SK028712,ANA
SK028670,CRE
SK028688,ANA
SK028689,APP
SK030153,ANA
SK030155,EVA
SK030152,APP
SK030159,ANA
SK028728,ANA
SK028737,APP
SK028645,APP
SK028649,EVA
SK028652,EVA
SK028782,ANA
SK028783,CRE
SK028796,ANA
SK028965,APP
SK028957,APP
SK028963,APP
SK028960,ANA
SK028674,ANA
SK028705,EVA
SK035540,APP
SK035541,ANA
SK035538,EVA
SK035543,EVA
SK035539,EVA
SK030236,ANA
SK030232,ANA
SK030228,EVA
SK030235,EVA
SK030230,EVA
SK030223,APP
SK030470,ANA
SK030463,UND
SK030461,APP
SK030466,APP
SK030733,EVA
SK033789,ANA
SK033797,CRE
SK033792,EVA
SK033788,APP
SK033637,APP
SK033644,EVA
SK033636,APP
SK033648,ANA
SK034003,APP
SK034004,EVA
SK034013,APP
SK034011,EVA
SK034016,ANA
SK031856,APP
SK031849,APP
SK031854,APP
SK031851,APP
SK032168,APP
SK032170,ANA
SK032005,EVA
SK032003,ANA
SK032007,EVA
SK032001,ANA
SK031999,APP
SK031998,EVA
SK032364,CRE
SK032367,APP
SK031629,EVA
SK031628,EVA
SK031626,EVA
SK031621,EVA
SK031627,EVA
SK031625,APP
SK031405,EVA
SK030903,ANA
SK030899,ANA
SK030911,UND
SK030909,APP
SK030968,ANA
SK030971,ANA
SK030973,EVA
SK030979,EVA
SK031383,EVA
SK031553,ANA
SK031544,EVA
SK031550,ANA
SK031477,EVA
SK031471,ANA
SK031470,ANA
SK031468,EVA
SK031476,EVA
SK031474,ANA
SK031467,ANA
SK031526,APP
SK031529,EVA
SK031532,EVA
SK031537,APP
SK031736,ANA
SK231302,ANA
SK231297,EVA
SK231295,ANA
SK231308,APP
SK231306,CRE
SK166485,EVA
SK166494,UND
SK166490,ANA
SK166481,APP
SK166489,EVA
SK166483,ANA
SK159415,ANA
SK159408,CRE
SK123754,EVA
SK123753,CRE
SK123764,ANA
SK123762,ANA
SK189282,UND
SK189279,APP
SK189284,EVA
SK189278,EVA
SK146741,ANA
SK146729,EVA
SK146733,ANA
SK146731,APP
SK146738,ANA
SK146730,EVA
SK160048,ANA
SK160050,ANA
SK160238,APP
SK160233,ANA
SK160243,CRE
SK160052,APP
SK127351,APP
SK127343,ANA
SK127344,EVA
SK127348,ANA
SK045047,EVA
SK045045,APP
SK045046,APP
SK045036,EVA
SK146680,ANA
SK146675,CRE
SK146678,APP
SK146677,APP
SK161342,ANA
SK161345,ANA
SK033134,ANA
SK033154,EVA
SK033140,EVA
SK033155,EVA
SK033136,APP
SK033103,ANA
SK215707,ANA
SK215702,ANA
SK215713,APP
SK215704,APP
SK215711,APP
SK215705,APP
SK215709,ANA
SK088174,APP
SK088167,CRE
SK088175,CRE
SK088168,APP
SK088173,EVA
SK202498,ANA
SK174496,APP
SK174499,EVA
SK108835,EVA
SK108837,EVA
SK108839,REM
SK108832,ANA
SK144877,ANA
SK144875,CRE
SK081045,CRE
SK081048,UND
SK081047,CRE
SK051634,CRE
SK051638,EVA
SK067301,ANA
SK067300,EVA
SK067298,ANA
SK120787,ANA
SK120797,ANA
SK120790,ANA
SK120798,ANA
SK120796,ANA
SK120788,EVA
SK120792,EVA
SK120789,EVA
SK120786,APP
SK120794,ANA
SK004736,ANA
SK004732,ANA
SK004733,EVA
SK125062,ANA
SK125058,ANA
SK125067,APP
SK125065,CRE
SK125059,ANA
SK125061,CRE
SK125064,CRE
SK125068,EVA
SK125069,CRE
SK054080,CRE
SK054084,APP
SK099614,EVA
SK234664,ANA
SK234667,APP
SK234663,CRE
SK234671,APP
SK234673,ANA
SK234669,ANA
SK081098,EVA
SK081099,ANA
SK081095,ANA
SK081100,APP
SK081107,EVA
SK081105,APP
SK081102,EVA
SK081108,ANA
SK047065,EVA
SK047062,ANA
SK047060,ANA
SK047066,ANA
SK083852,EVA
SK083844,ANA
SK083851,EVA
SK083854,CRE
SK119514,EVA
SK119522,CRE
SK043153,EVA
SK043156,CRE
SK154100,EVA
SK154068,APP
SK154074,APP
SK023223,ANA
SK023232,ANA
SK023233,CRE
SK161361,ANA
SK161360,EVA
SK161357,CRE
SK161368,ANA
SK161362,ANA
SK161358,CRE
SK202808,ANA
SK202815,ANA
SK202805,CRE
SK202802,APP
SK202813,APP
SK202811,ANA
SK202803,ANA
SK107050,ANA
SK107046,ANA
SK107051,APP
SK107055,CRE
SK107054,ANA
SK107052,EVA
SK107057,APP
SK107053,EVA
SK005370,ANA
SK005368,ANA
SK005364,APP
SK005372,APP
SK005369,ANA
SK005360,CRE
SK005371,ANA
SK005363,EVA
SK005361,EVA
SK173851,APP
SK173850,ANA
SK173846,ANA
SK171598,ANA
SK173853,APP
SK171596,APP
SK171593,EVA
SK173844,ANA
SK171597,EVA
SK173848,EVA
SK099542,APP
SK099552,EVA
SK099550,ANA
SK099551,EVA
SK099547,CRE
SK044118,EVA
SK044119,UND
SK128752,CRE
SK128761,ANA
SK101090,ANA
SK101096,EVA
SK101101,APP
SK101092,EVA
SK162244,EVA
SK162250,APP
SK162247,EVA
SK162254,APP
SK162258,EVA
SK125748,ANA
SK125738,ANA
SK125739,APP
SK125743,CRE
SK054066,ANA
SK054070,APP
SK054068,ANA
SK054072,ANA
SK054067,EVA
SK054104,ANA
SK054103,EVA
SK054107,ANA
SK054110,CRE
SK054116,EVA
SK054105,EVA
SK054109,CRE
SK162203,EVA
SK162213,CRE
SK162209,APP
SK162204,EVA
SK162201,ANA
SK162205,EVA
SK162946,CRE
SK162953,ANA
SK162956,CRE
SK162957,CRE
SK162952,CRE
SK162955,ANA
SK162947,EVA
SK161752,EVA
SK074060,EVA
SK074063,APP
SK074067,ANA
SK128150,EVA
SK128300,CRE
SK128295,EVA
SK128151,APP
SK128149,EVA
SK054130,ANA
SK054120,CRE
SK054122,ANA
SK054125,ANA
SK054124,APP
SK055089,APP
SK055085,CRE
SK055081,CRE
SK055088,APP
SK055093,CRE
SK055087,APP
SK100818,EVA
SK100822,ANA
SK100816,APP
SK100825,EVA
SK202820,APP
SK202817,APP
SK202824,ANA
SK202819,CRE
SK144413,ANA
SK144421,CRE
SK144411,CRE
SK013126,APP
SK013130,ANA
SK013133,EVA
SK013135,APP
SK159427,CRE
SK230304,EVA
SK230303,APP
SK154078,ANA
SK154086,ANA
SK154077,APP
SK154088,ANA
SK154082,CRE
SK154080,EVA
SK154085,ANA
SK154091,APP
SK147481,ANA
SK147484,ANA
SK147477,ANA
SK147478,APP
SK147486,APP
SK147487,APP
SK081083,ANA
SK081091,ANA
SK081082,EVA
SK081094,EVA
SK081086,CRE
SK081087,CRE
SK081084,ANA
SK081089,ANA
SK081081,ANA
SK123824,CRE
SK123826,CRE
SK123820,APP
SK123825,EVA
SK123818,APP
SK213759,ANA
SK213762,ANA
SK213899,ANA
SK213752,EVA
SK213750,EVA
SK213749,ANA
SK213901,EVA
SK213897,EVA
SK213758,ANA
SK213896,CRE
SK213763,ANA
SK213754,ANA
SK213895,APP
SK003474,EVA
SK003466,APP
SK003473,EVA
SK003476,EVA
SK208749,EVA
SK208750,APP
SK208760,EVA
SK208757,EVA
SK208755,EVA
SK208748,EVA
SK208751,ANA
SK208761,UND
SK141450,ANA
SK141455,CRE
SK173854,EVA
SK173862,ANA
SK173858,CRE
SK173859,ANA
SK173867,ANA
SK188179,EVA
SK188186,APP
SK188191,APP
SK188181,ANA
SK188189,EVA
SK188183,ANA
SK188193,CRE
SK174219,APP
SK174225,CRE
SK174220,CRE
SK174214,CRE
SK174218,ANA
SK099502,CRE
SK099507,EVA
