skill_id,suffix
SK210164,THG
SK210160,THG
SK210169,THG
SK210168,THG
SK210162,SYS
SK210188,PEO
SK210187,THG
SK210183,THG
SK210621,THG
SK209896,THG
SK209918,THG
SK111092,INF
SK111089,INF
SK111087,INF
SK111091,INF
SK072440,INF
SK072445,INF
SK072444,INF
SK069547,INF
SK069539,INF
SK069541,PEO
SK069552,INF
SK069559,INF
SK069556,INF
SK070452,INF
SK070451,INF
SK217015,INF
SK217021,INF
SK217017,INF
SK064252,INF
SK064249,INF
SK064255,INF
SK064259,INF
SK064248,INF
SK064246,INF
SK064254,INF
SK064253,INF
SK105591,PEO
SK105584,INF
SK105580,PEO
SK105587,INF
SK105581,PEO
SK105585,INF
SK146802,INF
SK146803,SYS
SK146796,SYS
SK146790,INF
SK146794,INF
SK146799,INF
SK146800,SYS
SK146793,INF
SK146791,INF
SK178502,SYS
SK178511,THG
SK178182,SYS
SK115568,INF
SK115580,INF
SK115570,INF
SK222129,PEO
SK222030,INF
SK222038,INF
SK222037,THG
SK222033,SYS
SK219017,INF
SK219025,PEO
SK219018,INF
SK219011,PEO
SK004975,THG
SK105818,IDE
SK105810,THG
SK105812,INF
SK105809,SYS
SK105814,INF
SK017856,INF
SK017868,INF
SK017866,INF
SK208922,INF
SK208927,IDE
SK208920,INF
SK207639,INF
SK207642,IDE
SK207650,PEO
SK207641,INF
SK157063,THG
SK157065,INF
SK157069,INF
SK211030,INF
SK211040,SYS
SK211037,INF
SK211042,THG
SK211036,INF
SK088018,INF
SK088014,INF
SK088028,INF
SK088026,THG
SK087981,INF
SK087993,INF
SK088005,INF
SK087974,INF
SK087962,INF
SK087963,INF
SK087965,INF
SK087967,THG
SK119416,INF
SK119411,INF
SK119415,INF
SK119408,THG
SK119413,INF
SK057756,SYS
SK057762,PEO
SK057753,INF
SK057751,PEO
SK057763,INF
SK057764,INF
SK088804,INF
SK032661,INF
SK032656,INF
SK032667,INF
SK032657,INF
SK032663,INF
SK032660,PEO
SK180718,PEO
SK180714,INF
SK180715,PEO
SK180374,INF
SK180712,INF
SK180706,INF
SK180369,PEO
SK180382,PEO
SK180709,INF
SK180711,INF
SK203110,INF
SK203118,IDE
SK203108,INF
SK203115,IDE
SK203114,SYS
SK203112,INF
SK203106,PEO
SK125675,SYS
SK125680,IDE
SK125671,PEO
SK125672,SYS
SK125669,SYS
SK125676,SYS
SK188454,SYS
SK188453,SYS
SK188450,SYS
SK160928,INF
SK160921,INF
SK160929,PEO
SK160923,SYS
SK160915,INF
SK160831,PEO
SK160827,SYS
SK160913,INF
SK160911,SYS
SK149505,PEO
SK149514,THG
SK110588,INF
SK110594,SYS
SK110598,SYS
SK110590,PEO
SK110587,PEO
SK110601,INF
SK110599,PEO
SK075570,INF
SK075574,PEO
SK075575,PEO
SK075563,PEO
SK075565,SYS
SK075562,IDE
SK075567,INF
SK075572,SYS
SK075571,PEO
SK075573,INF
SK116561,INF
SK116569,INF
SK116562,INF
SK116570,INF
SK116563,INF
SK116559,INF
SK116566,INF
SK112991,INF
SK112981,INF
SK112979,PEO
SK112989,PEO
SK112988,SYS
SK112984,PEO
SK112935,PEO
