skill_id,suffix
SK210164,MIN
SK210160,MIN
SK210169,MIN
SK210168,MIN
SK210162,MIN
SK210188,MIN
SK210187,MIN
SK210183,MIN
SK210621,MIN
SK209896,MIN
SK209918,MIN
SK111092,MED
SK111089,MED
SK111087,MED
SK111091,MED
SK072440,MIN
SK072445,MED
SK072444,LOW
SK069547,LOW
SK069539,MED
SK069541,MIN
SK069552,MED
SK069559,MED
SK069556,LOW
SK070452,MED
SK070451,MED
SK217015,MED
SK217021,MED
SK217017,MED
SK064252,MED
SK064249,MED
SK064255,MED
SK064259,MED
SK064248,MED
SK064246,MED
SK064254,MED
SK064253,MED
SK105591,MIN
SK105584,LOW
SK105580,LOW
SK105587,LOW
SK105581,MIN
SK105585,MED
SK146802,HIG
SK146803,HIG
SK146796,ADV
SK146790,HIG
SK146794,HIG
SK146799,HIG
SK146800,HIG
SK146793,MED
SK146791,HIG
SK178502,MED
SK178511,MIN
SK178182,MED
SK115568,LOW
SK115580,LOW
SK115570,MED
SK222129,LOW
SK222030,MED
SK222038,LOW
SK222037,MIN
SK222033,MIN
SK219017,MED
SK219025,MIN
SK219018,MED
SK219011,LOW
SK004975,MIN
SK105818,MED
SK105810,MED
SK105812,LOW
SK105809,LOW
SK105814,LOW
SK017856,MED
SK017868,MED
SK017866,MED
SK208922,MED
SK208927,HIG
SK208920,MED
SK207639,HIG
SK207642,MED
SK207650,LOW
SK207641,MIN
SK157063,MIN
SK157065,MIN
SK157069,LOW
SK211030,MED
SK211040,MIN
SK211037,MED
SK211042,MIN
SK211036,LOW
SK088018,MED
SK088014,MED
SK088028,HIG
SK088026,MIN
SK087981,MED
SK087993,HIG
SK088005,MED
SK087974,MED
SK087962,MED
SK087963,MED
SK087965,MED
SK087967,MIN
SK119416,HIG
SK119411,HIG
SK119415,HIG
SK119408,LOW
SK119413,MED
SK057756,MED
SK057762,LOW
SK057753,MED
SK057751,MED
SK057763,MED
SK057764,LOW
SK088804,HIG
SK032661,MED
SK032656,MED
SK032667,MIN
SK032657,LOW
SK032663,MED
SK032660,MED
SK180718,MIN
SK180714,MIN
SK180715,LOW
SK180374,MED
SK180712,MED
SK180706,MED
SK180369,MED
SK180382,LOW
SK180709,LOW
SK180711,MED
SK203110,MED
SK203118,LOW
SK203108,MED
SK203115,MED
SK203114,MED
SK203112,MED
SK203106,MED
SK125675,MED
SK125680,MED
SK125671,MED
SK125672,MED
SK125669,MED
SK125676,MED
SK188454,HIG
SK188453,HIG
SK188450,MED
SK160928,MED
SK160921,MED
SK160929,MED
SK160923,LOW
SK160915,HIG
SK160831,MED
SK160827,MED
SK160913,MIN
SK160911,HIG
SK149505,LOW
SK149514,MIN
SK110588,LOW
SK110594,MIN
SK110598,MIN
SK110590,MED
SK110587,MED
SK110601,LOW
SK110599,MIN
SK075570,MED
SK075574,LOW
SK075575,LOW
SK075563,MED
SK075565,MED
SK075562,MED
SK075567,MED
SK075572,HIG
SK075571,LOW
SK075573,MED
SK116561,MED
SK116569,MED
SK116562,MED
SK116570,MED
SK116563,MED
SK116559,HIG
SK116566,MED
SK112991,MIN
SK112981,MED
SK112979,MIN
SK112989,MIN
SK112988,MED
SK112984,MIN
SK112935,MIN
SK112933,LOW
SK112944,MIN
SK112938,MIN
SK112939,LOW
SK052037,MED
SK114283,MIN
SK114276,LOW
SK114273,LOW
SK114275,LOW
SK114269,MIN
SK114423,MIN
SK114436,MIN
SK114424,LOW
SK114426,MED
SK114433,MIN
SK114432,LOW
SK156129,HIG
SK156131,MED
SK114608,MED
SK114616,MIN
SK027902,HIG
SK027892,MED
SK027895,ADV
SK219001,MED
SK219004,MED
SK219005,LOW
SK218999,MIN
SK177922,MED
SK213407,MED
SK086504,MED
SK086507,MIN
SK086510,MED
SK086503,MIN
SK043098,LOW
SK043106,MED
SK043104,MED
SK121358,MED
SK121357,MED
SK121356,MED
SK121352,MED
SK052480,MIN
SK052483,LOW
SK054712,MIN
SK054709,LOW
SK054710,LOW
SK054708,MIN
SK054702,LOW
SK129552,MIN
SK129548,MIN
SK129550,MIN
SK202417,LOW
SK202415,LOW
SK202418,MIN
SK202419,MED
SK202421,MIN
SK169879,MED
SK169886,MED
SK221368,MED
SK221362,MIN
SK221374,MIN
SK146060,LOW
SK146057,MIN
SK146052,HIG
SK223966,MED
SK182560,HIG
SK038528,MIN
SK038533,MIN
SK038531,MED
SK038527,LOW
SK184870,MED
SK176606,MED
SK176605,LOW
SK176603,MED
SK176602,LOW
SK176611,LOW
SK000739,MED
SK000745,LOW
SK000738,MIN
SK000744,MIN
SK000747,MIN
SK128994,MED
SK128989,MED
SK128993,LOW
SK128996,MED
SK128998,MED
SK129000,MED
SK129001,MED
SK108923,MED
SK108928,MED
SK108855,MED
SK108922,HIG
SK108926,MED
SK108924,HIG
SK108856,HIG
SK108846,MED
SK108920,MED
SK108917,MED
SK112462,MED
SK112458,MED
SK112460,MIN
SK111853,LOW
SK111854,MED
SK111848,MIN
SK111842,MED
SK111843,MIN
SK111841,MED
SK111844,MED
SK111840,MIN
SK000471,HIG
SK000473,MED
SK000480,LOW
SK000478,LOW
SK080836,HIG
SK080841,LOW
SK080833,LOW
SK080831,LOW
SK080839,LOW
SK080842,MED
SK080834,MED
SK102663,LOW
SK102668,MED
SK102667,LOW
SK102671,MED
SK223912,MED
SK223919,MIN
SK223913,LOW
SK102453,MED
SK102461,MED
SK102450,HIG
SK102455,MED
SK102456,MED
SK102459,HIG
SK102462,MED
SK102458,MED
SK102277,MED
SK102278,MED
SK102285,MED
SK102275,MED
SK102276,MED
SK102279,MED
SK102283,MED
SK102301,MED
SK102296,HIG
SK102290,MED
SK102293,MED
SK102289,HIG
SK088315,MED
SK088316,HIG
SK231289,HIG
SK231280,HIG
SK231283,MED
SK231282,MED
SK184486,MED
SK184485,MED
SK184478,MED
SK184482,MED
SK176526,MED
SK176523,MED
SK176521,MED
SK176518,MED
SK176524,LOW
SK176529,MED
SK176520,MED
SK176519,MED
SK176595,MED
SK178890,MED
SK178901,MED
SK178891,MED
SK178900,MED
SK207104,MED
SK207103,MED
SK207097,MED
SK207094,HIG
SK207101,MED
SK207095,HIG
SK214318,MED
SK214317,MED
SK214324,MED
SK006416,MED
SK006412,MED
SK006415,LOW
SK101408,LOW
SK101410,MED
SK178841,MED
SK178843,MED
SK178870,MED
SK178837,LOW
SK178839,MED
SK070594,MED
SK070590,MED
SK070597,MED
SK070598,MED
SK070591,LOW
SK228962,MED
SK228975,MED
SK174280,MED
SK181033,MED
SK181040,MED
SK228986,MED
SK228983,MED
SK228989,MED
SK010658,MIN
SK110345,MIN
SK110344,MIN
SK110343,MED
SK110346,MED
SK080871,MED
SK080867,HIG
SK080862,MED
SK080861,LOW
SK080864,LOW
SK080869,HIG
SK122538,HIG
SK122529,MED
SK122537,MED
SK122533,MED
SK102237,MED
SK102228,LOW
SK102233,MED
SK102234,LOW
SK102242,MED
SK102236,MIN
SK102256,MED
SK182914,MIN
SK182903,MIN
SK182909,MED
SK182913,MIN
SK182910,MIN
SK044203,MED
SK044201,LOW
SK044199,LOW
SK044196,MED
SK102332,MED
SK102328,MED
SK102325,HIG
SK102320,MED
SK102327,MED
SK102324,MED
SK128987,MED
SK128983,MED
SK128986,MED
SK128976,MED
SK128625,MED
SK128626,MED
SK128627,MED
SK128628,MED
SK128629,MIN
SK128634,LOW
SK097538,MED
SK097479,MED
SK097476,MED
SK097473,MED
SK097480,MED
SK097536,MED
SK097478,LOW
SK097484,MED
SK201928,MED
SK201937,MED
SK224153,MED
SK224152,MED
SK224144,LOW
SK058750,LOW
SK058748,MED
SK058751,MED
SK058760,MED
SK058755,LOW
SK058749,MED
SK080353,HIG
SK080356,MED
SK080354,MED
SK080360,MED
SK080363,LOW
SK080364,MED
SK102366,MED
SK102369,MED
SK102374,MED
SK102371,LOW
SK102372,MED
SK102368,MED
SK102364,LOW
SK069132,HIG
SK069133,LOW
SK069129,MED
SK102361,MED
SK102350,LOW
SK102353,MED
SK102354,MED
SK102363,LOW
SK102349,MED
SK153285,MED
SK153291,MED
SK153294,LOW
SK153293,MIN
SK153284,LOW
SK153295,LOW
SK153287,LOW
SK153290,MED
SK153292,MIN
SK151796,MED
SK151794,MED
SK151799,LOW
SK151802,MED
SK151805,MED
SK071939,MED
SK071933,HIG
SK227386,MED
SK227621,MED
SK227389,MED
SK227629,LOW
SK227385,MED
SK227616,MED
SK227394,MED
SK227391,MED
SK227360,MED
SK227364,MED
SK227366,MED
SK227365,MED
SK227355,MED
SK002983,MED
SK002979,MED
SK002975,LOW
SK002972,MIN
SK002974,LOW
SK002977,LOW
SK203641,MED
SK203643,MIN
SK203675,MED
SK203647,LOW
SK203673,MED
SK203678,LOW
SK203666,MED
SK203637,MIN
SK067788,MED
SK067795,MED
SK067793,LOW
SK067778,MED
SK006999,MED
SK006994,MED
SK067683,MED
SK067672,MED
SK067673,MED
SK067677,MED
SK067675,HIG
SK067670,MED
SK067668,MED
SK067666,MED
SK208834,MIN
SK208837,MED
SK208828,MED
SK208840,MED
SK208842,MED
SK208848,LOW
SK208849,LOW
SK208845,LOW
SK067820,MED
SK067818,MIN
SK067824,MED
SK067813,MED
SK067819,MIN
SK067827,MED
SK067816,LOW
SK067798,MED
SK067806,MED
SK067804,LOW
SK067799,MED
SK067805,MED
SK039619,LOW
SK039618,LOW
SK039610,LOW
SK072009,MED
SK072002,MED
SK180233,MED
SK180232,MED
SK180239,MED
SK180228,MED
SK180226,MED
SK180230,MED
SK206621,LOW
SK206618,MIN
SK206619,MED
SK206624,LOW
SK208809,MED
SK072632,MED
SK072628,LOW
SK072633,LOW
SK187773,MIN
SK187768,LOW
SK187772,LOW
SK187769,MIN
SK187767,LOW
SK187777,LOW
SK187774,LOW
SK182272,LOW
SK182280,LOW
SK108800,LOW
SK108796,LOW
SK233342,MED
SK098391,MED
SK098433,MED
SK098400,MIN
SK098396,MED
SK098394,MED
SK098389,MED
SK098434,MED
SK107936,MIN
SK107930,MIN
SK127462,MED
SK127454,MED
SK127453,MED
SK101086,MED
SK101085,MED
SK101184,LOW
SK101088,MED
SK101185,MED
SK101081,LOW
SK101075,MED
SK101181,HIG
SK101076,MED
SK101080,LOW
SK101074,LOW
SK101077,MED
SK101180,MED
SK101079,MED
SK226060,MED
SK226058,MED
SK226055,MED
SK226063,MED
SK226061,MED
SK226056,LOW
SK216865,MED
SK216874,LOW
SK216864,MED
SK216873,HIG
SK216870,HIG
SK118145,MIN
SK118151,LOW
SK147094,MED
SK208087,MIN
SK208085,MED
SK219087,MED
SK219088,MED
SK219089,MED
SK219093,MIN
SK219094,LOW
SK219102,MED
SK219104,MED
SK219097,LOW
SK219109,MED
SK054741,MED
SK054743,MED
SK054739,MED
SK058580,MED
SK058577,MED
SK058578,MED
SK058575,HIG
SK058581,MED
SK058572,MED
SK058579,HIG
SK023103,MED
SK023101,HIG
SK023095,MED
SK023097,MED
SK023100,MED
SK028715,MED
SK028719,LOW
SK028712,MED
SK028670,MED
SK028688,MIN
SK028689,MED
SK030153,HIG
SK030155,MIN
SK030152,MED
SK030159,MED
SK028728,HIG
SK028737,MIN
SK028645,MED
SK028649,MED
SK028652,MED
SK028782,MED
SK028783,MED
SK028796,MED
SK028965,MIN
SK028957,MIN
SK028963,LOW
SK028960,MED
SK028674,MIN
SK028705,MED
SK035540,MED
SK035541,LOW
SK035538,MED
SK035543,HIG
SK035539,MIN
SK030236,LOW
SK030232,MIN
SK030228,MIN
SK030235,MED
SK030230,MED
SK030223,MIN
SK030470,MED
SK030463,MIN
SK030461,MED
SK030466,MIN
SK030733,HIG
SK033789,MED
SK033797,MED
SK033792,MED
SK033788,MIN
SK033637,MIN
SK033644,MIN
SK033636,MED
SK033648,MED
SK034003,MIN
SK034004,HIG
SK034013,MIN
SK034011,MED
SK034016,MED
SK031856,LOW
SK031849,MED
SK031854,MIN
SK031851,MED
SK032168,MIN
SK032170,MED
SK032005,MED
SK032003,MIN
SK032007,MED
SK032001,MED
SK031999,MED
SK031998,MED
SK032364,MED
SK032367,MIN
SK031629,MED
SK031628,MED
SK031626,MED
SK031621,LOW
SK031627,MED
SK031625,MIN
SK031405,MED
SK030903,MED
SK030899,MED
SK030911,MIN
SK030909,MIN
SK030968,MED
SK030971,MED
SK030973,MED
SK030979,MED
SK031383,MED
SK031553,LOW
SK031544,MIN
SK031550,LOW
SK031477,MIN
SK031471,MED
SK031470,MIN
SK031468,LOW
SK031476,LOW
SK031474,MIN
SK031467,MED
SK031526,MED
SK031529,MIN
SK031532,MED
SK031537,MIN
SK031736,MED
SK231302,MED
SK231297,MED
SK231295,MED
SK231308,MED
SK231306,MED
SK166485,MED
SK166494,LOW
SK166490,HIG
SK166481,MED
SK166489,HIG
SK166483,MED
SK159415,LOW
SK159408,MIN
SK123754,MED
SK123753,MED
SK123764,MED
SK123762,MIN
SK189282,LOW
SK189279,MIN
SK189284,HIG
SK189278,LOW
SK146741,MED
SK146729,HIG
SK146733,HIG
SK146731,MED
