skill_id,suffix
SK210164,HUM
SK210160,HUM
SK210169,HUM
SK210168,COL
SK210162,HUM
SK210188,HUM
SK210187,HUM
SK210183,HUM
SK210621,HUM
SK209896,HUM
SK209918,HUM
SK111092,COL
SK111089,AUT
SK111087,AUG
SK111091,COL
SK072440,AUT
SK072445,AUT
SK072444,AUT
SK069547,HUM
SK069539,COL
SK069541,HUM
SK069552,HUM
SK069559,COL
SK069556,HUM
SK070452,HUM
SK070451,HUM
SK217015,COL
SK217021,AUG
SK217017,AUG
SK064252,COL
SK064249,AUT
SK064255,HUM
SK064259,COL
SK064248,AUG
SK064246,COL
SK064254,AUT
SK064253,COL
SK105591,AUG
SK105584,AUT
SK105580,HUM
SK105587,AUG
SK105581,COL
SK105585,AUT
SK146802,AUG
SK146803,AUG
SK146796,AUG
SK146790,EMG
SK146794,EMG
SK146799,AUG
SK146800,AUT
SK146793,COL
SK146791,AUT
SK178502,AUT
SK178511,AUT
SK178182,AUT
SK115568,AUT
SK115580,AUT
SK115570,AUT
SK222129,AUT
SK222030,COL
SK222038,AUT
SK222037,AUT
SK222033,COL
SK219017,HUM
SK219025,HUM
SK219018,HUM
SK219011,HUM
SK004975,HUM
SK105818,HUM
SK105810,AUT
SK105812,AUG
SK105809,AUT
SK105814,AUT
SK017856,AUG
SK017868,AUG
SK017866,AUG
SK208922,COL
SK208927,HUM
SK208920,AUG
SK207639,COL
SK207642,HUM
SK207650,HUM
SK207641,AUT
SK157063,HUM
SK157065,HUM
SK157069,COL
SK211030,AUT
SK211040,HUM
SK211037,AUG
SK211042,HUM
SK211036,AUT
SK088018,AUG
SK088014,AUG
SK088028,COL
SK088026,AUT
SK087981,COL
SK087993,COL
SK088005,COL
SK087974,COL
SK087962,COL
SK087963,AUT
SK087965,HUM
SK087967,AUT
SK119416,COL
SK119411,COL
SK119415,HUM
SK119408,HUM
SK119413,AUT
SK057756,AUT
SK057762,HUM
SK057753,COL
SK057751,HUM
SK057763,COL
SK057764,AUT
SK088804,AUG
SK032661,HUM
SK032656,COL
SK032667,COL
SK032657,HUM
SK032663,AUT
SK032660,COL
SK180718,HUM
SK180714,HUM
SK180715,HUM
SK180374,COL
SK180712,HUM
SK180706,COL
SK180369,HUM
SK180382,HUM
SK180709,AUT
SK180711,HUM
SK203110,HUM
SK203118,HUM
SK203108,COL
SK203115,HUM
SK203114,COL
SK203112,COL
SK203106,HUM
SK125675,AUG
SK125680,COL
SK125671,HUM
SK125672,COL
SK125669,AUT
SK125676,AUG
SK188454,COL
SK188453,COL
SK188450,COL
SK160928,AUT
SK160921,COL
SK160929,HUM
SK160923,COL
SK160915,COL
SK160831,HUM
SK160827,COL
SK160913,COL
SK160911,COL
SK149505,HUM
SK149514,COL
SK110588,HUM
SK110594,HUM
SK110598,HUM
SK110590,HUM
SK110587,HUM
SK110601,AUG
SK110599,HUM
SK075570,HUM
SK075574,HUM
SK075575,AUG
SK075563,HUM
SK075565,AUG
SK075562,HUM
SK075567,AUT
SK075572,COL
SK075571,HUM
SK075573,AUT
SK116561,AUG
SK116569,HUM
SK116562,AUT
SK116570,COL
SK116563,COL
SK116559,COL
SK116566,AUT
SK112991,HUM
SK112981,COL
SK112979,HUM
SK112989,HUM
SK112988,HUM
SK112984,HUM
SK112935,COL
SK112933,HUM
SK112944,HUM
SK112938,HUM
SK112939,AUT
SK052037,HUM
SK114283,HUM
SK114276,AUT
SK114273,HUM
SK114275,AUG
SK114269,HUM
SK114423,HUM
SK114436,HUM
SK114424,HUM
SK114426,AUG
SK114433,HUM
SK114432,COL
SK156129,AUG
SK156131,AUG
SK114608,HUM
SK114616,HUM
SK027902,AUG
SK027892,HUM
SK027895,EMG
SK219001,HUM
SK219004,HUM
SK219005,HUM
SK218999,HUM
SK177922,HUM
SK213407,HUM
SK086504,HUM
SK086507,AUG
SK086510,HUM
SK086503,HUM
SK043098,HUM
SK043106,COL
SK043104,HUM
SK121358,HUM
SK121357,COL
SK121356,COL
SK121352,AUG
SK052480,HUM
SK052483,HUM
SK054712,HUM
SK054709,HUM
SK054710,HUM
SK054708,HUM
SK054702,HUM
SK129552,AUT
SK129548,COL
SK129550,AUT
SK202417,AUT
SK202415,AUG
SK202418,HUM
SK202419,AUT
SK202421,AUG
SK169879,AUT
SK169886,COL
SK221368,AUT
SK221362,AUT
SK221374,COL
SK146060,HUM
SK146057,AUT
SK146052,COL
SK223966,HUM
SK182560,COL
SK038528,HUM
SK038533,AUG
SK038531,HUM
SK038527,AUT
SK184870,AUG
SK176606,COL
SK176605,HUM
SK176603,HUM
SK176602,HUM
SK176611,HUM
SK000739,AUG
SK000745,COL
SK000738,HUM
SK000744,HUM
SK000747,AUG
SK128994,AUT
SK128989,COL
SK128993,COL
SK128996,COL
SK128998,COL
SK129000,HUM
SK129001,AUT
SK108923,HUM
SK108928,HUM
SK108855,COL
SK108922,AUG
SK108926,COL
SK108924,AUG
SK108856,COL
SK108846,AUT
SK108920,COL
SK108917,COL
SK112462,COL
SK112458,HUM
SK112460,AUT
SK111853,HUM
SK111854,COL
SK111848,HUM
SK111842,COL
SK111843,HUM
SK111841,COL
SK111844,COL
SK111840,HUM
SK000471,AUG
SK000473,HUM
SK000480,HUM
SK000478,COL
SK080836,AUT
SK080841,AUG
SK080833,COL
SK080831,HUM
SK080839,COL
SK080842,AUT
SK080834,AUT
SK102663,HUM
SK102668,HUM
SK102667,AUG
SK102671,COL
SK223912,AUT
SK223919,HUM
SK223913,HUM
SK102453,AUT
SK102461,COL
SK102450,COL
SK102455,AUT
SK102456,COL
SK102459,COL
SK102462,HUM
SK102458,AUG
SK102277,COL
SK102278,COL
SK102285,COL
SK102275,COL
SK102276,AUT
SK102279,COL
SK102283,COL
SK102301,COL
SK102296,HUM
SK102290,HUM
SK102293,AUG
SK102289,COL
SK088315,AUT
SK088316,AUG
SK231289,AUG
SK231280,AUG
SK231283,AUG
SK231282,AUT
SK184486,AUG
SK184485,AUT
SK184478,HUM
SK184482,COL
SK176526,COL
SK176523,COL
SK176521,AUT
SK176518,HUM
SK176524,HUM
SK176529,AUT
SK176520,AUT
SK176519,HUM
SK176595,HUM
SK178890,HUM
SK178901,AUT
SK178891,AUG
SK178900,AUT
SK207104,AUG
SK207103,AUT
SK207097,AUT
SK207094,AUG
SK207101,AUT
SK207095,COL
SK214318,AUG
SK214317,AUT
SK214324,COL
SK006416,COL
SK006412,AUT
SK006415,AUT
SK101408,COL
SK101410,AUG
SK178841,AUT
SK178843,HUM
SK178870,COL
SK178837,AUT
SK178839,AUT
SK070594,HUM
SK070590,HUM
SK070597,AUT
SK070598,COL
SK070591,HUM
SK228962,AUT
SK228975,AUT
SK174280,COL
SK181033,COL
SK181040,AUT
SK228986,COL
SK228983,COL
SK228989,HUM
SK010658,HUM
SK110345,AUT
SK110344,AUT
SK110343,AUG
SK110346,COL
SK080871,COL
SK080867,COL
SK080862,AUT
SK080861,HUM
SK080864,HUM
SK080869,COL
SK122538,AUG
SK122529,AUG
SK122537,COL
SK122533,AUT
SK102237,AUT
SK102228,AUT
SK102233,AUT
SK102234,AUG
SK102242,HUM
SK102236,HUM
SK102256,HUM
SK182914,HUM
SK182903,AUT
SK182909,HUM
SK182913,COL
SK182910,HUM
SK044203,HUM
SK044201,AUG
SK044199,COL
SK044196,COL
SK102332,HUM
SK102328,COL
SK102325,HUM
SK102320,AUT
SK102327,COL
SK102324,COL
SK128987,COL
SK128983,AUG
SK128986,COL
SK128976,AUG
SK128625,AUT
SK128626,AUG
SK128627,COL
SK128628,COL
SK128629,HUM
SK128634,AUT
SK097538,COL
SK097479,AUT
SK097476,HUM
SK097473,COL
SK097480,COL
SK097536,AUT
SK097478,AUT
SK097484,AUT
SK201928,HUM
SK201937,AUG
SK224153,COL
SK224152,HUM
SK224144,HUM
SK058750,HUM
SK058748,HUM
SK058751,HUM
SK058760,COL
SK058755,AUG
SK058749,COL
SK080353,HUM
SK080356,EMG
SK080354,HUM
SK080360,EMG
SK080363,COL
SK080364,HUM
SK102366,HUM
SK102369,HUM
SK102374,COL
SK102371,HUM
SK102372,AUT
SK102368,AUT
SK102364,HUM
SK069132,COL
SK069133,AUG
SK069129,COL
SK102361,HUM
SK102350,HUM
SK102353,HUM
SK102354,HUM
SK102363,HUM
SK102349,HUM
SK153285,HUM
SK153291,HUM
SK153294,HUM
SK153293,COL
SK153284,COL
SK153295,HUM
SK153287,AUT
SK153290,COL
SK153292,HUM
SK151796,AUT
SK151794,HUM
SK151799,HUM
SK151802,COL
SK151805,HUM
SK071939,AUG
SK071933,HUM
SK227386,COL
SK227621,AUT
SK227389,AUT
SK227629,AUT
SK227385,AUT
SK227616,AUT
SK227394,AUT
SK227391,AUT
SK227360,COL
SK227364,HUM
SK227366,HUM
SK227365,HUM
SK227355,COL
SK002983,AUG
SK002979,HUM
SK002975,HUM
SK002972,HUM
SK002974,HUM
SK002977,HUM
SK203641,AUG
SK203643,HUM
SK203675,AUG
SK203647,AUT
SK203673,HUM
SK203678,HUM
SK203666,AUT
SK203637,HUM
SK067788,AUT
SK067795,COL
SK067793,AUT
SK067778,AUG
SK006999,HUM
SK006994,AUG
SK067683,COL
SK067672,COL
SK067673,COL
SK067677,AUG
SK067675,HUM
SK067670,AUG
SK067668,AUG
SK067666,COL
SK208834,AUG
SK208837,AUG
SK208828,AUT
SK208840,HUM
SK208842,AUT
SK208848,HUM
SK208849,HUM
SK208845,COL
SK067820,COL
SK067818,HUM
SK067824,HUM
SK067813,HUM
SK067819,HUM
SK067827,HUM
SK067816,HUM
SK067798,COL
SK067806,COL
SK067804,COL
SK067799,AUG
SK067805,COL
SK039619,HUM
SK039618,AUT
SK039610,HUM
SK072009,HUM
SK072002,HUM
SK180233,COL
SK180232,HUM
SK180239,COL
SK180228,HUM
SK180226,HUM
SK180230,COL
SK206621,HUM
SK206618,HUM
SK206619,HUM
SK206624,COL
SK208809,AUG
SK072632,COL
SK072628,COL
SK072633,HUM
SK187773,HUM
SK187768,HUM
SK187772,HUM
SK187769,HUM
SK187767,AUT
SK187777,AUG
SK187774,HUM
SK182272,HUM
SK182280,HUM
SK108800,HUM
SK108796,COL
SK233342,AUT
SK098391,AUG
SK098433,HUM
SK098400,HUM
SK098396,COL
SK098394,HUM
SK098389,HUM
SK098434,HUM
SK107936,AUG
SK107930,AUT
SK127462,HUM
SK127454,COL
SK127453,COL
SK101086,HUM
SK101085,COL
SK101184,HUM
SK101088,HUM
SK101185,COL
SK101081,AUG
SK101075,COL
SK101181,COL
SK101076,AUT
SK101080,HUM
SK101074,COL
SK101077,COL
SK101180,HUM
SK101079,COL
SK226060,HUM
SK226058,COL
SK226055,AUT
SK226063,AUT
SK226061,HUM
SK226056,HUM
SK216865,AUT
SK216874,AUG
SK216864,HUM
SK216873,AUG
SK216870,COL
SK118145,AUT
SK118151,AUT
SK147094,COL
SK208087,COL
SK208085,HUM
SK219087,HUM
SK219088,HUM
SK219089,HUM
SK219093,HUM
SK219094,HUM
SK219102,HUM
SK219104,HUM
SK219097,HUM
SK219109,AUT
SK054741,HUM
SK054743,HUM
SK054739,AUG
SK058580,HUM
SK058577,HUM
SK058578,HUM
SK058575,AUG
SK058581,HUM
SK058572,HUM
SK058579,AUG
SK023103,AUG
SK023101,COL
SK023095,HUM
SK023097,AUT
SK023100,COL
SK028715,COL
SK028719,COL
SK028712,AUG
SK028670,HUM
SK028688,AUG
SK028689,COL
SK030153,COL
SK030155,COL
SK030152,COL
SK030159,COL
SK028728,COL
SK028737,AUT
SK028645,COL
SK028649,AUG
SK028652,COL
SK028782,COL
SK028783,AUG
SK028796,AUG
SK028965,AUT
SK028957,HUM
SK028963,AUT
SK028960,AUG
SK028674,COL
SK028705,COL
SK035540,AUT
SK035541,AUG
SK035538,COL
SK035543,AUG
SK035539,COL
SK030236,COL
SK030232,COL
SK030228,AUG
SK030235,COL
SK030230,COL
SK030223,AUT
SK030470,AUG
SK030463,AUG
SK030461,AUG
SK030466,AUT
SK030733,COL
SK033789,COL
SK033797,COL
SK033792,COL
SK033788,AUG
SK033637,COL
SK033644,AUG
SK033636,AUT
SK033648,COL
SK034003,AUT
SK034004,COL
SK034013,AUT
SK034011,AUG
SK034016,COL
SK031856,AUT
SK031849,AUG
SK031854,COL
SK031851,AUG
SK032168,COL
SK032170,COL
SK032005,AUG
SK032003,COL
SK032007,COL
SK032001,COL
SK031999,COL
SK031998,AUT
SK032364,HUM
SK032367,HUM
SK031629,COL
SK031628,AUG
SK031626,AUG
SK031621,HUM
SK031627,AUG
SK031625,AUT
SK031405,AUG
SK030903,COL
SK030899,COL
SK030911,HUM
SK030909,AUT
SK030968,AUT
SK030971,COL
SK030973,COL
SK030979,COL
SK031383,COL
SK031553,AUG
SK031544,COL
SK031550,COL
SK031477,COL
SK031471,COL
SK031470,COL
SK031468,AUG
SK031476,COL
SK031474,COL
SK031467,AUG
SK031526,COL
SK031529,AUT
SK031532,COL
SK031537,AUT
SK031736,COL
SK231302,COL
SK231297,COL
SK231295,AUG
SK231308,HUM
SK231306,HUM
SK166485,COL
SK166494,HUM
SK166490,AUG
SK166481,AUT
SK166489,AUT
SK166483,AUG
SK159415,AUG
SK159408,HUM
SK123754,COL
SK123753,HUM
SK123764,AUG
SK123762,HUM
SK189282,HUM
SK189279,HUM
SK189284,COL
SK189278,AUG
SK146741,COL
SK146729,COL
SK146733,COL
SK146731,AUT
SK146738,AUG
SK146730,AUG
SK160048,COL
SK160050,COL
SK160238,AUG
SK160233,HUM
SK160243,AUG
SK160052,AUG
SK127351,HUM
SK127343,COL
SK127344,COL
SK127348,COL
SK045047,HUM
SK045045,COL
SK045046,AUG
SK045036,HUM
SK146680,AUG
SK146675,COL
SK146678,AUT
SK146677,COL
SK161342,HUM
SK161345,COL
SK033134,COL
SK033154,COL
SK033140,HUM
SK033155,COL
SK033136,COL
SK033103,COL
SK215707,AUG
SK215702,AUT
SK215713,AUG
SK215704,AUT
SK215711,AUT
SK215705,AUT
SK215709,AUG
SK088174,COL
SK088167,HUM
SK088175,COL
SK088168,AUT
SK088173,AUT
SK202498,COL
SK174496,AUT
SK174499,HUM
SK108835,COL
SK108837,AUG
SK108839,AUT
SK108832,COL
SK144877,AUG
SK144875,AUG
SK081045,HUM
SK081048,HUM
SK081047,COL
SK051634,COL
SK051638,AUG
SK067301,COL
SK067300,COL
SK067298,AUT
SK120787,COL
SK120797,HUM
SK120790,AUG
SK120798,COL
SK120796,COL
SK120788,HUM
SK120792,HUM
SK120789,COL
SK120786,COL
SK120794,COL
SK004736,AUG
SK004732,AUT
SK004733,COL
SK125062,COL
SK125058,AUG
SK125067,HUM
SK125065,AUG
SK125059,HUM
SK125061,COL
SK125064,HUM
SK125068,COL
SK125069,EMG
SK054080,HUM
SK054084,AUT
SK099614,HUM
SK234664,AUG
SK234667,AUT
SK234663,AUG
SK234671,AUG
SK234673,COL
SK234669,AUG
SK081098,HUM
SK081099,HUM
SK081095,AUG
SK081100,AUT
SK081107,HUM
SK081105,HUM
SK081102,HUM
SK081108,HUM
SK047065,HUM
SK047062,COL
SK047060,COL
SK047066,COL
SK083852,HUM
SK083844,HUM
SK083851,HUM
SK083854,HUM
SK119514,AUG
SK119522,HUM
SK043153,COL
SK043156,COL
SK154100,HUM
SK154068,AUT
SK154074,AUT
SK023223,HUM
SK023232,COL
SK023233,COL
SK161361,COL
SK161360,COL
SK161357,HUM
SK161368,HUM
SK161362,COL
SK161358,HUM
SK202808,AUG
SK202815,COL
SK202805,HUM
SK202802,HUM
SK202813,AUT
SK202811,AUG
SK202803,COL
SK107050,COL
SK107046,COL
SK107051,HUM
SK107055,HUM
SK107054,HUM
SK107052,AUG
SK107057,HUM
SK107053,HUM
SK005370,AUG
SK005368,AUG
SK005364,AUT
SK005372,AUG
SK005369,AUG
SK005360,HUM
SK005371,COL
SK005363,HUM
SK005361,COL
SK173851,AUT
SK173850,AUT
SK173846,COL
SK171598,AUG
SK173853,AUT
SK171596,AUT
SK171593,COL
SK173844,COL
SK171597,COL
SK173848,COL
SK099542,COL
SK099552,COL
SK099550,HUM
SK099551,COL
SK099547,COL
SK044118,COL
SK044119,HUM
SK128752,AUG
SK128761,COL
SK101090,AUG
SK101096,COL
SK101101,HUM
SK101092,HUM
SK162244,COL
SK162250,HUM
SK162247,AUG
SK162254,AUT
SK162258,AUG
SK125748,HUM
SK125738,AUG
SK125739,AUT
SK125743,HUM
SK054066,HUM
SK054070,COL
SK054068,HUM
SK054072,HUM
SK054067,HUM
SK054104,COL
SK054103,HUM
SK054107,HUM
SK054110,HUM
SK054116,HUM
SK054105,HUM
SK054109,HUM
SK162203,COL
SK162213,AUG
SK162209,COL
SK162204,HUM
SK162201,COL
SK162205,HUM
SK162946,HUM
SK162953,HUM
SK162956,HUM
SK162957,HUM
SK162952,HUM
SK162955,COL
SK162947,HUM
SK161752,AUG
SK074060,HUM
SK074063,AUT
SK074067,HUM
SK128150,COL
SK128300,AUG
SK128295,AUT
SK128151,AUG
SK128149,AUG
SK054130,COL
SK054120,HUM
SK054122,HUM
SK054125,COL
SK054124,AUT
SK055089,AUG
SK055085,HUM
SK055081,HUM
SK055088,HUM
SK055093,HUM
SK055087,HUM
SK100818,COL
SK100822,HUM
SK100816,HUM
SK100825,HUM
SK202820,AUT
SK202817,HUM
SK202824,AUG
SK202819,HUM
SK144413,AUG
SK144421,AUG
SK144411,COL
SK013126,AUG
SK013130,AUG
SK013133,AUG
SK013135,AUT
SK159427,HUM
SK230304,COL
SK230303,AUT
SK154078,COL
SK154086,AUT
SK154077,AUT
SK154088,AUT
SK154082,AUG
SK154080,COL
SK154085,COL
SK154091,AUT
SK147481,COL
SK147484,COL
SK147477,COL
SK147478,AUT
SK147486,COL
SK147487,COL
SK081083,HUM
SK081091,HUM
SK081082,HUM
SK081094,HUM
SK081086,HUM
SK081087,COL
SK081084,COL
SK081089,HUM
SK081081,HUM
SK123824,AUG
SK123826,HUM
SK123820,HUM
SK123825,EMG
SK123818,AUT
SK213759,COL
SK213762,COL
SK213899,AUG
SK213752,COL
SK213750,AUG
SK213749,HUM
SK213901,COL
SK213897,HUM
SK213758,COL
SK213896,HUM
SK213763,COL
SK213754,AUG
SK213895,AUT
SK003474,HUM
SK003466,AUT
SK003473,COL
SK003476,HUM
SK208749,AUG
SK208750,COL
SK208760,HUM
SK208757,COL
SK208755,HUM
SK208748,AUG
SK208751,AUG
SK208761,COL
SK141450,COL
SK141455,COL
SK173854,COL
SK173862,COL
SK173858,COL
SK173859,COL
SK173867,COL
SK188179,HUM
SK188186,AUT
SK188191,HUM
SK188181,AUT
SK188189,COL
SK188183,COL
SK188193,AUG
SK174219,AUT
SK174225,COL
SK174220,HUM
SK174214,AUG
SK174218,HUM
SK099502,HUM
SK099507,COL
SK099508,COL
SK125084,AUG
SK125074,COL
SK125076,AUG
SK125082,COL
SK125083,AUG
SK125073,HUM
SK125079,AUG
SK125075,COL
SK240678,COL
SK240683,COL
SK124297,COL
SK124305,COL
SK124299,HUM
