skill_id,suffix
SK210164,PRA
SK210160,PRA
SK210169,PRA
SK210168,PRA
SK210162,PRA
SK210188,PRA
SK210187,PRA
SK210183,PRA
SK210621,PRA
SK209896,PRA
SK209918,PRA
SK111092,THE
SK111089,WRK
SK111087,WRK
SK111091,WRK
SK072440,WRK
SK072445,WRK
SK072444,WRK
SK069547,THE
SK069539,WRK
SK069541,WRK
SK069552,WRK
SK069559,WRK
SK069556,WRK
SK070452,HYB
SK070451,WRK
SK217015,WRK
SK217021,WRK
SK217017,WRK
SK064252,THE
SK064249,WRK
SK064255,THE
SK064259,WRK
SK064248,DIG
SK064246,HYB
SK064254,DIG
SK064253,THE
SK105591,HYB
SK105584,WRK
SK105580,WRK
SK105587,DIG
SK105581,HYB
SK105585,HYB
SK146802,WRK
SK146803,WRK
SK146796,WRK
SK146790,WRK
SK146794,WRK
SK146799,PRA
SK146800,WRK
SK146793,PRA
SK146791,PRA
SK178502,WRK
SK178511,WRK
SK178182,WRK
SK115568,WRK
SK115580,PRA
SK115570,PRA
SK222129,WRK
SK222030,HYB
SK222038,WRK
SK222037,WRK
SK222033,WRK
SK219017,DIG
SK219025,PRA
SK219018,THE
SK219011,WRK
SK004975,WRK
SK105818,WRK
SK105810,WRK
SK105812,WRK
SK105809,WRK
SK105814,WRK
SK017856,WRK
SK017868,WRK
SK017866,WRK
SK208922,WRK
SK208927,HYB
SK208920,WRK
SK207639,WRK
SK207642,WRK
SK207650,WRK
SK207641,WRK
SK157063,WRK
SK157065,WRK
SK157069,WRK
SK211030,WRK
SK211040,WRK
SK211037,WRK
SK211042,PRA
SK211036,WRK
SK088018,PRA
SK088014,WRK
SK088028,WRK
SK088026,WRK
SK087981,WRK
SK087993,WRK
SK088005,WRK
SK087974,WRK
SK087962,HYB
SK087963,WRK
SK087965,HYB
SK087967,PRA
SK119416,WRK
SK119411,HYB
SK119415,HYB
SK119408,WRK
SK119413,PRA
SK057756,WRK
SK057762,WRK
SK057753,WRK
SK057751,WRK
SK057763,WRK
SK057764,WRK
SK088804,PRA
SK032661,WRK
SK032656,WRK
SK032667,WRK
SK032657,WRK
SK032663,WRK
SK032660,WRK
SK180718,HYB
SK180714,WRK
SK180715,HYB
SK180374,HYB
SK180712,WRK
SK180706,WRK
SK180369,WRK
SK180382,PRA
SK180709,WRK
SK180711,WRK
SK203110,HYB
SK203118,WRK
SK203108,HYB
SK203115,WRK
SK203114,WRK
SK203112,THE
SK203106,WRK
SK125675,WRK
SK125680,HYB
SK125671,THE
SK125672,WRK
SK125669,WRK
SK125676,WRK
SK188454,WRK
SK188453,WRK
SK188450,WRK
SK160928,WRK
SK160921,WRK
SK160929,WRK
SK160923,WRK
SK160915,WRK
SK160831,HYB
SK160827,WRK
SK160913,WRK
SK160911,WRK
SK149505,WRK
SK149514,PRA
SK110588,WRK
SK110594,WRK
SK110598,WRK
SK110590,HYB
SK110587,HYB
SK110601,WRK
SK110599,HYB
SK075570,WRK
SK075574,WRK
SK075575,WRK
SK075563,WRK
SK075565,WRK
SK075562,WRK
SK075567,WRK
SK075572,WRK
SK075571,PRA
SK075573,WRK
SK116561,PRA
SK116569,WRK
SK116562,WRK
SK116570,WRK
SK116563,WRK
SK116559,WRK
SK116566,PRA
SK112991,WRK
SK112981,WRK
SK112979,PRA
SK112989,WRK
SK112988,WRK
SK112984,WRK
SK112935,THE
SK112933,WRK
SK112944,PRA
SK112938,WRK
SK112939,DIG
SK052037,WRK
SK114283,WRK
SK114276,WRK
SK114273,HYB
SK114275,WRK
SK114269,WRK
SK114423,HYB
SK114436,WRK
SK114424,HYB
SK114426,WRK
SK114433,HYB
SK114432,WRK
SK156129,HYB
SK156131,WRK
SK114608,HYB
SK114616,WRK
SK027902,WRK
SK027892,WRK
SK027895,WRK
SK219001,HYB
SK219004,HYB
SK219005,THE
SK218999,WRK
SK177922,WRK
SK213407,WRK
SK086504,HYB
SK086507,WRK
SK086510,WRK
SK086503,WRK
SK043098,HYB
SK043106,WRK
SK043104,WRK
SK121358,WRK
SK121357,THE
SK121356,WRK
SK121352,WRK
SK052480,WRK
SK052483,WRK
SK054712,WRK
SK054709,WRK
SK054710,WRK
SK054708,HYB
SK054702,WRK
SK129552,PRA
SK129548,PRA
SK129550,PRA
SK202417,WRK
SK202415,WRK
SK202418,WRK
SK202419,WRK
SK202421,WRK
SK169879,WRK
SK169886,WRK
SK221368,HYB
SK221362,WRK
SK221374,PRA
SK146060,WRK
SK146057,WRK
SK146052,THE
SK223966,WRK
SK182560,WRK
SK038528,WRK
SK038533,THE
SK038531,WRK
SK038527,PRA
SK184870,THE
SK176606,HYB
SK176605,WRK
SK176603,WRK
SK176602,HYB
SK176611,PRA
SK000739,WRK
SK000745,WRK
SK000738,PRA
SK000744,WRK
SK000747,WRK
SK128994,WRK
SK128989,WRK
SK128993,WRK
SK128996,WRK
SK128998,WRK
SK129000,WRK
SK129001,WRK
SK108923,WRK
SK108928,WRK
SK108855,WRK
SK108922,WRK
SK108926,WRK
SK108924,WRK
SK108856,WRK
SK108846,WRK
SK108920,WRK
SK108917,WRK
SK112462,WRK
SK112458,WRK
SK112460,WRK
SK111853,WRK
SK111854,HYB
SK111848,PRA
SK111842,HYB
SK111843,WRK
SK111841,WRK
SK111844,WRK
SK111840,PRA
SK000471,WRK
SK000473,THE
SK000480,THE
SK000478,WRK
SK080836,WRK
SK080841,WRK
SK080833,WRK
SK080831,WRK
SK080839,WRK
SK080842,WRK
SK080834,WRK
SK102663,WRK
SK102668,WRK
SK102667,WRK
SK102671,WRK
SK223912,HYB
SK223919,THE
SK223913,THE
SK102453,WRK
SK102461,WRK
SK102450,WRK
SK102455,WRK
SK102456,WRK
SK102459,WRK
SK102462,WRK
SK102458,WRK
SK102277,WRK
SK102278,WRK
SK102285,WRK
SK102275,WRK
SK102276,WRK
SK102279,WRK
SK102283,HYB
SK102301,WRK
SK102296,WRK
SK102290,WRK
SK102293,WRK
SK102289,WRK
SK088315,WRK
SK088316,PRA
SK231289,PRA
SK231280,WRK
SK231283,HYB
SK231282,PRA
SK184486,WRK
SK184485,WRK
SK184478,WRK
SK184482,WRK
SK176526,WRK
SK176523,HYB
SK176521,WRK
SK176518,WRK
SK176524,WRK
SK176529,WRK
SK176520,WRK
SK176519,WRK
SK176595,WRK
SK178890,WRK
SK178901,WRK
SK178891,WRK
SK178900,WRK
SK207104,WRK
SK207103,WRK
SK207097,WRK
SK207094,WRK
SK207101,WRK
SK207095,WRK
SK214318,WRK
SK214317,WRK
SK214324,WRK
SK006416,WRK
SK006412,WRK
SK006415,WRK
SK101408,WRK
SK101410,THE
SK178841,WRK
SK178843,WRK
SK178870,WRK
SK178837,WRK
SK178839,WRK
SK070594,WRK
SK070590,WRK
SK070597,WRK
SK070598,WRK
SK070591,WRK
SK228962,WRK
SK228975,WRK
SK174280,HYB
SK181033,WRK
SK181040,WRK
SK228986,WRK
SK228983,WRK
SK228989,WRK
SK010658,WRK
SK110345,WRK
SK110344,WRK
SK110343,HYB
SK110346,WRK
SK080871,WRK
SK080867,WRK
SK080862,WRK
SK080861,WRK
SK080864,WRK
SK080869,WRK
SK122538,PRA
SK122529,HYB
SK122537,PRA
SK122533,WRK
SK102237,WRK
SK102228,WRK
SK102233,WRK
SK102234,WRK
SK102242,WRK
SK102236,HYB
SK102256,WRK
SK182914,PRA
SK182903,WRK
SK182909,WRK
SK182913,PRA
SK182910,WRK
SK044203,WRK
SK044201,WRK
SK044199,WRK
SK044196,HYB
SK102332,WRK
SK102328,WRK
SK102325,WRK
SK102320,WRK
SK102327,WRK
SK102324,HYB
SK128987,WRK
SK128983,WRK
SK128986,WRK
SK128976,WRK
SK128625,WRK
SK128626,WRK
SK128627,WRK
SK128628,WRK
SK128629,WRK
SK128634,WRK
SK097538,WRK
SK097479,WRK
SK097476,WRK
SK097473,WRK
SK097480,WRK
SK097536,WRK
SK097478,WRK
SK097484,WRK
SK201928,WRK
SK201937,WRK
SK224153,WRK
SK224152,WRK
SK224144,WRK
SK058750,WRK
SK058748,HYB
SK058751,WRK
SK058760,WRK
SK058755,WRK
SK058749,WRK
SK080353,HYB
SK080356,HYB
SK080354,WRK
SK080360,WRK
SK080363,WRK
SK080364,HYB
SK102366,WRK
SK102369,WRK
SK102374,WRK
SK102371,WRK
SK102372,WRK
SK102368,WRK
SK102364,WRK
SK069132,WRK
SK069133,THE
SK069129,WRK
SK102361,WRK
SK102350,HYB
SK102353,WRK
SK102354,HYB
SK102363,HYB
SK102349,HYB
SK153285,WRK
SK153291,WRK
SK153294,WRK
SK153293,PRA
SK153284,WRK
SK153295,WRK
SK153287,WRK
SK153290,WRK
SK153292,WRK
SK151796,WRK
SK151794,WRK
SK151799,WRK
SK151802,WRK
SK151805,WRK
SK071939,WRK
SK071933,WRK
SK227386,WRK
SK227621,WRK
SK227389,HYB
SK227629,WRK
SK227385,WRK
SK227616,WRK
SK227394,WRK
SK227391,WRK
SK227360,WRK
SK227364,HYB
SK227366,THE
SK227365,WRK
SK227355,WRK
SK002983,HYB
SK002979,WRK
SK002975,WRK
SK002972,WRK
SK002974,WRK
SK002977,WRK
SK203641,WRK
SK203643,WRK
SK203675,WRK
SK203647,WRK
SK203673,WRK
SK203678,WRK
SK203666,WRK
SK203637,PRA
SK067788,WRK
SK067795,WRK
SK067793,WRK
SK067778,WRK
SK006999,WRK
SK006994,HYB
SK067683,WRK
SK067672,WRK
SK067673,HYB
SK067677,HYB
SK067675,THE
SK067670,HYB
SK067668,HYB
SK067666,WRK
SK208834,HYB
SK208837,HYB
SK208828,WRK
SK208840,WRK
SK208842,WRK
SK208848,WRK
SK208849,WRK
SK208845,WRK
SK067820,HYB
SK067818,WRK
SK067824,HYB
SK067813,HYB
SK067819,WRK
SK067827,WRK
SK067816,WRK
SK067798,HYB
SK067806,PRA
SK067804,WRK
SK067799,WRK
SK067805,HYB
SK039619,WRK
SK039618,WRK
SK039610,WRK
