skill_id,suffix
SK210164,TEC
SK210160,TEC
SK210169,TEC
SK210168,REG
SK210162,REG
SK210188,TEC
SK210187,TEC
SK210183,TEC
SK210621,REG
SK209896,TEC
SK209918,TEC
SK111092,REG
SK111089,REG
SK111087,COG
SK111091,COG
SK072440,TEC
SK072445,TEC
SK072444,TEC
SK069547,REG
SK069539,REG
SK069541,SOC
SK069552,REG
SK069559,REG
SK069556,REG
SK070452,REG
SK070451,REG
SK217015,COG
SK217021,COG
SK217017,COG
SK064252,REG
SK064249,COG
SK064255,COG
SK064259,REG
SK064248,REG
SK064246,REG
SK064254,REG
SK064253,REG
SK105591,SOC
SK105584,SOC
SK105580,SOC
SK105587,SLF
SK105581,COG
SK105585,TEC
SK146802,COG
SK146803,TEC
SK146796,COG
SK146790,REG
SK146794,COG
SK146799,COG
SK146800,TEC
SK146793,TEC
SK146791,TEC
SK178502,TEC
SK178511,REG
SK178182,REG
SK115568,FND
SK115580,TEC
SK115570,TEC
SK222129,REG
SK222030,TEC
SK222038,REG
SK222037,REG
SK222033,TEC
SK219017,COG
SK219025,SOC
SK219018,COG
SK219011,SOC
SK004975,REG
SK105818,TEC
SK105810,TEC
SK105812,COG
SK105809,TEC
SK105814,TEC
SK017856,COG
SK017868,REG
SK017866,REG
SK208922,COG
SK208927,COG
SK208920,COG
SK207639,COG
SK207642,COG
SK207650,SOC
SK207641,FND
SK157063,SLF
SK157065,COG
SK157069,REG
SK211030,COG
SK211040,REG
SK211037,TEC
SK211042,TEC
SK211036,COG
SK088018,TEC
SK088014,TEC
SK088028,COG
SK088026,REG
SK087981,COG
SK087993,COG
SK088005,COG
SK087974,COG
SK087962,COG
SK087963,TEC
SK087965,COG
SK087967,TEC
SK119416,COG
SK119411,COG
SK119415,REG
SK119408,REG
SK119413,TEC
SK057756,TEC
SK057762,SOC
SK057753,REG
SK057751,SOC
SK057763,REG
SK057764,TEC
SK088804,TEC
SK032661,REG
SK032656,REG
SK032667,REG
SK032657,REG
SK032663,REG
SK032660,REG
SK180718,COG
SK180714,REG
SK180715,SOC
SK180374,REG
SK180712,COG
SK180706,REG
SK180369,REG
SK180382,SOC
SK180709,REG
SK180711,REG
SK203110,COG
SK203118,REG
SK203108,TEC
SK203115,SOC
SK203114,REG
SK203112,REG
SK203106,SOC
SK125675,COG
SK125680,COG
SK125671,SOC
SK125672,TEC
SK125669,TEC
SK125676,COG
SK188454,REG
SK188453,TEC
SK188450,TEC
SK160928,COG
SK160921,COG
SK160929,SOC
SK160923,COG
SK160915,COG
SK160831,SOC
SK160827,COG
SK160913,COG
SK160911,TEC
SK149505,SOC
SK149514,COG
SK110588,COG
SK110594,COG
SK110598,REG
SK110590,COG
SK110587,SOC
SK110601,COG
SK110599,SOC
SK075570,REG
SK075574,REG
SK075575,SOC
SK075563,COG
SK075565,SLF
SK075562,COG
SK075567,TEC
SK075572,COG
SK075571,COG
SK075573,REG
SK116561,TEC
SK116569,COG
SK116562,TEC
SK116570,COG
SK116563,COG
SK116559,REG
SK116566,TEC
SK112991,REG
SK112981,COG
SK112979,SOC
SK112989,TEC
SK112988,COG
SK112984,COG
SK112935,REG
SK112933,COG
SK112944,TEC
SK112938,COG
SK112939,COG
SK052037,COG
SK114283,COG
SK114276,COG
SK114273,COG
SK114275,SLF
SK114269,TEC
SK114423,COG
SK114436,REG
SK114424,COG
SK114426,COG
SK114433,TEC
SK114432,REG
SK156129,COG
SK156131,SLF
SK114608,COG
SK114616,TEC
SK027902,COG
SK027892,COG
SK027895,COG
SK219001,COG
SK219004,COG
