skill_id,suffix
SK210164,SEC
SK210160,BRD
SK210169,BRD
SK210168,OCC
SK210162,SEC
SK210188,SEC
SK210187,BRD
SK210183,BRD
SK210621,BRD
SK209896,BRD
SK209918,BRD
SK111092,SEC
SK111089,SEC
SK111087,OCC
SK111091,SEC
SK072440,OCC
SK072445,BRD
SK072444,SEC
SK069547,SEC
SK069539,SEC
SK069541,SEC
SK069552,SEC
SK069559,SEC
SK069556,SEC
SK070452,SEC
SK070451,SEC
SK217015,SEC
SK217021,BRD
SK217017,BRD
SK064252,SEC
SK064249,SEC
SK064255,OCC
SK064259,SEC
SK064248,SEC
SK064246,OCC
SK064254,SEC
SK064253,OCC
SK105591,BRD
SK105584,SEC
SK105580,SEC
SK105587,SEC
SK105581,BRD
SK105585,SEC
SK146802,BRD
SK146803,BRD
SK146796,BRD
SK146790,BRD
SK146794,BRD
SK146799,BRD
SK146800,BRD
SK146793,BRD
SK146791,BRD
SK178502,BRD
SK178511,BRD
SK178182,BRD
SK115568,UNI
SK115580,BRD
SK115570,BRD
SK222129,SEC
SK222030,SEC
SK222038,SEC
SK222037,SEC
SK222033,SEC
SK219017,BRD
SK219025,UNI
SK219018,BRD
SK219011,SEC
SK004975,SEC
SK105818,SEC
SK105810,OCC
SK105812,SEC
SK105809,BRD
SK105814,SEC
SK017856,SEC
SK017868,SEC
SK017866,SEC
SK208922,BRD
SK208927,BRD
SK208920,BRD
SK207639,SEC
SK207642,SEC
SK207650,SEC
SK207641,SEC
SK157063,BRD
SK157065,BRD
SK157069,BRD
SK211030,SEC
SK211040,SEC
SK211037,OCC
SK211042,SEC
SK211036,SEC
SK088018,BRD
SK088014,BRD
SK088028,BRD
SK088026,SEC
SK087981,BRD
SK087993,BRD
SK088005,BRD
SK087974,BRD
SK087962,BRD
SK087963,SEC
SK087965,BRD
SK087967,OCC
SK119416,BRD
SK119411,BRD
SK119415,BRD
SK119408,BRD
SK119413,BRD
SK057756,SEC
SK057762,SEC
SK057753,SEC
SK057751,BRD
SK057763,SEC
SK057764,BRD
SK088804,BRD
SK032661,SEC
SK032656,SEC
SK032667,SEC
SK032657,SEC
SK032663,BRD
SK032660,BRD
SK180718,BRD
SK180714,BRD
SK180715,SEC
SK180374,BRD
SK180712,BRD
SK180706,BRD
SK180369,BRD
SK180382,BRD
SK180709,BRD
SK180711,BRD
SK203110,SEC
SK203118,SEC
SK203108,SEC
SK203115,SEC
SK203114,BRD
SK203112,BRD
SK203106,SEC
SK125675,SEC
SK125680,BRD
SK125671,BRD
SK125672,BRD
SK125669,BRD
SK125676,BRD
SK188454,BRD
SK188453,BRD
SK188450,BRD
SK160928,BRD
SK160921,BRD
SK160929,SEC
SK160923,BRD
SK160915,BRD
SK160831,SEC
SK160827,BRD
SK160913,SEC
SK160911,SEC
SK149505,SEC
SK149514,SEC
SK110588,OCC
SK110594,SEC
SK110598,OCC
SK110590,BRD
SK110587,BRD
SK110601,OCC
SK110599,SEC
SK075570,SEC
SK075574,SEC
SK075575,BRD
SK075563,SEC
SK075565,BRD
SK075562,SEC
SK075567,SEC
SK075572,SEC
SK075571,BRD
SK075573,BRD
SK116561,BRD
SK116569,BRD
SK116562,BRD
SK116570,BRD
SK116563,SEC
SK116559,BRD
SK116566,BRD
SK112991,SEC
SK112981,SEC
SK112979,SEC
SK112989,SEC
SK112988,OCC
SK112984,OCC
SK112935,SEC
SK112933,OCC
SK112944,SEC
SK112938,BRD
SK112939,BRD
SK052037,BRD
SK114283,SEC
SK114276,SEC
SK114273,OCC
SK114275,OCC
SK114269,OCC
SK114423,OCC
SK114436,SEC
SK114424,SEC
SK114426,SEC
SK114433,OCC
SK114432,SEC
SK156129,SEC
SK156131,BRD
SK114608,OCC
SK114616,SEC
SK027902,BRD
SK027892,SEC
SK027895,SEC
SK219001,BRD
SK219004,BRD
SK219005,BRD
SK218999,SEC
SK177922,BRD
SK213407,BRD
SK086504,SEC
SK086507,SEC
SK086510,SEC
SK086503,SEC
SK043098,BRD
SK043106,BRD
SK043104,BRD
SK121358,BRD
SK121357,BRD
SK121356,BRD
SK121352,BRD
SK052480,SEC
SK052483,SEC
SK054712,SEC
SK054709,SEC
SK054710,SEC
SK054708,UNI
SK054702,SEC
SK129552,BRD
SK129548,SEC
SK129550,SEC
SK202417,BRD
SK202415,SEC
SK202418,OCC
SK202419,SEC
SK202421,SEC
SK169879,BRD
SK169886,BRD
SK221368,SEC
SK221362,SEC
SK221374,OCC
SK146060,SEC
SK146057,BRD
SK146052,BRD
SK223966,SEC
SK182560,SEC
SK038528,SEC
SK038533,SEC
SK038531,SEC
SK038527,BRD
SK184870,BRD
SK176606,SEC
SK176605,SEC
SK176603,SEC
SK176602,SEC
SK176611,BRD
SK000739,SEC
SK000745,OCC
SK000738,SEC
SK000744,SEC
SK000747,OCC
SK128994,SEC
SK128989,SEC
SK128993,SEC
SK128996,SEC
SK128998,BRD
SK129000,SEC
SK129001,SEC
SK108923,SEC
SK108928,SEC
SK108855,SEC
SK108922,SEC
SK108926,SEC
SK108924,SEC
SK108856,SEC
SK108846,SEC
SK108920,SEC
SK108917,SEC
SK112462,SEC
SK112458,SEC
SK112460,SEC
SK111853,SEC
SK111854,SEC
SK111848,SEC
SK111842,SEC
SK111843,SEC
SK111841,SEC
SK111844,SEC
SK111840,SEC
SK000471,SEC
SK000473,SEC
SK000480,SEC
SK000478,BRD
SK080836,SEC
SK080841,BRD
SK080833,SEC
SK080831,SEC
SK080839,BRD
SK080842,SEC
SK080834,SEC
SK102663,SEC
SK102668,SEC
SK102667,SEC
SK102671,SEC
SK223912,SEC
SK223919,BRD
SK223913,SEC
SK102453,SEC
SK102461,SEC
SK102450,SEC
SK102455,SEC
SK102456,BRD
SK102459,BRD
SK102462,SEC
SK102458,SEC
SK102277,SEC
SK102278,SEC
SK102285,SEC
SK102275,SEC
SK102276,OCC
SK102279,SEC
SK102283,SEC
SK102301,SEC
SK102296,SEC
SK102290,OCC
SK102293,SEC
SK102289,SEC
SK088315,SEC
SK088316,BRD
SK231289,BRD
SK231280,BRD
SK231283,BRD
SK231282,BRD
SK184486,BRD
SK184485,BRD
SK184478,BRD
SK184482,BRD
SK176526,SEC
SK176523,SEC
SK176521,SEC
SK176518,SEC
SK176524,BRD
SK176529,SEC
SK176520,BRD
SK176519,BRD
SK176595,SEC
SK178890,BRD
SK178901,BRD
SK178891,BRD
SK178900,BRD
SK207104,SEC
SK207103,SEC
SK207097,SEC
SK207094,BRD
SK207101,SEC
SK207095,BRD
SK214318,BRD
SK214317,BRD
SK214324,BRD
SK006416,BRD
SK006412,BRD
SK006415,SEC
SK101408,BRD
SK101410,BRD
SK178841,BRD
SK178843,SEC
SK178870,SEC
SK178837,BRD
SK178839,SEC
SK070594,SEC
SK070590,SEC
SK070597,BRD
SK070598,SEC
SK070591,SEC
SK228962,SEC
SK228975,BRD
SK174280,OCC
SK181033,SEC
SK181040,BRD
SK228986,BRD
SK228983,BRD
SK228989,SEC
SK010658,SEC
SK110345,SEC
SK110344,SEC
SK110343,SEC
SK110346,SEC
SK080871,SEC
SK080867,BRD
SK080862,SEC
SK080861,SEC
SK080864,SEC
SK080869,SEC
SK122538,BRD
SK122529,BRD
SK122537,BRD
SK122533,BRD
SK102237,SEC
SK102228,OCC
SK102233,SEC
SK102234,SEC
SK102242,SEC
SK102236,OCC
SK102256,BRD
SK182914,SEC
SK182903,BRD
SK182909,SEC
SK182913,SEC
SK182910,SEC
SK044203,BRD
SK044201,BRD
SK044199,BRD
SK044196,BRD
SK102332,SEC
SK102328,BRD
SK102325,BRD
SK102320,SEC
SK102327,BRD
SK102324,SEC
SK128987,SEC
SK128983,SEC
SK128986,BRD
SK128976,SEC
SK128625,SEC
SK128626,BRD
SK128627,SEC
SK128628,OCC
SK128629,BRD
SK128634,OCC
SK097538,OCC
SK097479,BRD
SK097476,BRD
SK097473,BRD
SK097480,BRD
SK097536,BRD
SK097478,BRD
SK097484,BRD
SK201928,BRD
SK201937,BRD
SK224153,BRD
SK224152,SEC
SK224144,BRD
SK058750,BRD
SK058748,SEC
SK058751,SEC
SK058760,BRD
SK058755,BRD
SK058749,SEC
SK080353,BRD
SK080356,SEC
SK080354,BRD
SK080360,BRD
SK080363,BRD
SK080364,BRD
SK102366,SEC
SK102369,SEC
SK102374,SEC
SK102371,SEC
SK102372,SEC
SK102368,SEC
SK102364,SEC
SK069132,SEC
SK069133,SEC
SK069129,SEC
SK102361,SEC
SK102350,SEC
SK102353,OCC
SK102354,SEC
SK102363,SEC
SK102349,SEC
SK153285,SEC
SK153291,SEC
SK153294,BRD
SK153293,BRD
SK153284,SEC
SK153295,BRD
SK153287,OCC
SK153290,SEC
SK153292,BRD
SK151796,BRD
SK151794,BRD
SK151799,BRD
SK151802,BRD
SK151805,BRD
SK071939,BRD
SK071933,BRD
SK227386,SEC
SK227621,SEC
SK227389,SEC
SK227629,SEC
SK227385,SEC
SK227616,SEC
SK227394,SEC
SK227391,SEC
SK227360,SEC
SK227364,SEC
SK227366,SEC
SK227365,SEC
SK227355,SEC
SK002983,SEC
SK002979,SEC
SK002975,SEC
SK002972,SEC
SK002974,SEC
SK002977,SEC
SK203641,BRD
SK203643,SEC
SK203675,SEC
SK203647,SEC
SK203673,SEC
SK203678,BRD
SK203666,SEC
SK203637,SEC
SK067788,SEC
SK067795,BRD
SK067793,SEC
SK067778,SEC
SK006999,BRD
SK006994,SEC
SK067683,SEC
SK067672,BRD
SK067673,SEC
SK067677,SEC
SK067675,BRD
SK067670,SEC
SK067668,SEC
SK067666,SEC
SK208834,SEC
SK208837,SEC
SK208828,SEC
SK208840,SEC
SK208842,SEC
SK208848,SEC
SK208849,SEC
SK208845,SEC
SK067820,SEC
SK067818,SEC
SK067824,SEC
SK067813,SEC
SK067819,SEC
SK067827,SEC
SK067816,SEC
SK067798,SEC
SK067806,BRD
SK067804,SEC
SK067799,SEC
SK067805,BRD
SK039619,SEC
SK039618,SEC
SK039610,SEC
SK072009,BRD
SK072002,BRD
SK180233,BRD
SK180232,BRD
SK180239,BRD
SK180228,BRD
SK180226,BRD
SK180230,BRD
SK206621,SEC
SK206618,SEC
SK206619,SEC
SK206624,SEC
SK208809,BRD
SK072632,SEC
SK072628,SEC
SK072633,SEC
SK187773,SEC
SK187768,OCC
SK187772,SEC
SK187769,SEC
SK187767,SEC
SK187777,SEC
SK187774,SEC
SK182272,BRD
SK182280,BRD
SK108800,BRD
SK108796,BRD
SK233342,OCC
SK098391,BRD
SK098433,SEC
SK098400,SEC
SK098396,BRD
SK098394,SEC
SK098389,SEC
SK098434,BRD
SK107936,OCC
SK107930,OCC
SK127462,BRD
SK127454,BRD
SK127453,BRD
SK101086,BRD
SK101085,SEC
SK101184,BRD
SK101088,BRD
SK101185,SEC
SK101081,BRD
SK101075,BRD
SK101181,SEC
SK101076,BRD
SK101080,BRD
SK101074,BRD
SK101077,BRD
SK101180,SEC
SK101079,BRD
SK226060,SEC
SK226058,OCC
SK226055,SEC
SK226063,SEC
SK226061,SEC
SK226056,SEC
SK216865,SEC
SK216874,SEC
SK216864,BRD
SK216873,BRD
SK216870,SEC
SK118145,SEC
SK118151,OCC
SK147094,BRD
SK208087,BRD
SK208085,OCC
SK219087,BRD
SK219088,BRD
SK219089,BRD
SK219093,SEC
SK219094,BRD
SK219102,BRD
SK219104,BRD
SK219097,BRD
SK219109,SEC
SK054741,BRD
SK054743,BRD
SK054739,BRD
SK058580,BRD
SK058577,SEC
SK058578,SEC
SK058575,SEC
SK058581,SEC
SK058572,BRD
SK058579,BRD
SK023103,BRD
SK023101,BRD
SK023095,BRD
SK023097,BRD
SK023100,BRD
SK028715,SEC
SK028719,SEC
SK028712,OCC
SK028670,BRD
SK028688,SEC
SK028689,BRD
SK030153,OCC
SK030155,OCC
SK030152,OCC
SK030159,OCC
SK028728,BRD
SK028737,BRD
SK028645,BRD
SK028649,BRD
SK028652,BRD
SK028782,BRD
SK028783,BRD
SK028796,BRD
SK028965,BRD
SK028957,BRD
SK028963,SEC
SK028960,SEC
SK028674,BRD
SK028705,BRD
SK035540,SEC
SK035541,BRD
SK035538,SEC
SK035543,SEC
SK035539,BRD
SK030236,OCC
SK030232,SEC
SK030228,SEC
SK030235,SEC
SK030230,SEC
SK030223,SEC
SK030470,SEC
SK030463,SEC
SK030461,SEC
SK030466,OCC
SK030733,OCC
SK033789,OCC
SK033797,OCC
SK033792,BRD
SK033788,OCC
SK033637,SEC
SK033644,SEC
SK033636,SEC
SK033648,SEC
SK034003,SEC
SK034004,OCC
SK034013,SEC
SK034011,SEC
SK034016,OCC
SK031856,SEC
SK031849,SEC
SK031854,SEC
SK031851,SEC
SK032168,SEC
SK032170,SEC
SK032005,SEC
SK032003,BRD
SK032007,BRD
SK032001,OCC
SK031999,OCC
SK031998,SEC
SK032364,BRD
SK032367,BRD
SK031629,SEC
SK031628,SEC
SK031626,BRD
SK031621,BRD
SK031627,BRD
SK031625,SEC
SK031405,BRD
SK030903,OCC
SK030899,OCC
SK030911,SEC
SK030909,SEC
SK030968,OCC
SK030971,OCC
SK030973,OCC
SK030979,SEC
SK031383,BRD
SK031553,OCC
SK031544,BRD
SK031550,SEC
SK031477,SEC
SK031471,SEC
SK031470,OCC
SK031468,BRD
SK031476,BRD
SK031474,OCC
SK031467,OCC
SK031526,BRD
SK031529,OCC
SK031532,SEC
SK031537,SEC
SK031736,BRD
SK231302,BRD
SK231297,BRD
SK231295,BRD
SK231308,BRD
SK231306,BRD
SK166485,BRD
SK166494,SEC
SK166490,BRD
SK166481,BRD
SK166489,BRD
SK166483,BRD
SK159415,BRD
SK159408,BRD
SK123754,OCC
SK123753,BRD
SK123764,SEC
SK123762,SEC
SK189282,BRD
SK189279,SEC
SK189284,SEC
SK189278,SEC
SK146741,BRD
SK146729,BRD
SK146733,BRD
SK146731,BRD
SK146738,BRD
SK146730,BRD
SK160048,BRD
SK160050,BRD
SK160238,BRD
SK160233,BRD
SK160243,BRD
SK160052,BRD
SK127351,BRD
SK127343,BRD
SK127344,BRD
SK127348,BRD
SK045047,BRD
SK045045,SEC
SK045046,BRD
SK045036,BRD
SK146680,SEC
SK146675,BRD
SK146678,BRD
SK146677,SEC
SK161342,BRD
SK161345,BRD
SK033134,SEC
SK033154,SEC
SK033140,SEC
SK033155,SEC
SK033136,OCC
SK033103,BRD
SK215707,SEC
SK215702,SEC
SK215713,BRD
SK215704,SEC
SK215711,BRD
SK215705,SEC
SK215709,BRD
SK088174,BRD
SK088167,BRD
SK088175,BRD
SK088168,BRD
SK088173,BRD
SK202498,SEC
SK174496,SEC
SK174499,OCC
SK108835,BRD
SK108837,SEC
SK108839,SEC
SK108832,SEC
SK144877,SEC
SK144875,SEC
SK081045,BRD
SK081048,SEC
SK081047,OCC
SK051634,BRD
SK051638,BRD
SK067301,SEC
SK067300,SEC
SK067298,BRD
SK120787,BRD
SK120797,SEC
SK120790,SEC
SK120798,BRD
SK120796,BRD
SK120788,SEC
SK120792,SEC
SK120789,BRD
SK120786,SEC
SK120794,SEC
SK004736,BRD
SK004732,BRD
SK004733,BRD
SK125062,SEC
SK125058,SEC
SK125067,SEC
SK125065,SEC
SK125059,SEC
SK125061,SEC
SK125064,SEC
SK125068,SEC
SK125069,SEC
SK054080,BRD
SK054084,BRD
SK099614,SEC
SK234664,BRD
SK234667,BRD
SK234663,SEC
SK234671,BRD
SK234673,BRD
SK234669,SEC
SK081098,BRD
SK081099,SEC
SK081095,BRD
SK081100,SEC
SK081107,SEC
SK081105,UNI
SK081102,SEC
SK081108,OCC
SK047065,BRD
SK047062,BRD
SK047060,BRD
SK047066,SEC
SK083852,BRD
SK083844,BRD
SK083851,BRD
SK083854,SEC
SK119514,BRD
SK119522,BRD
SK043153,BRD
SK043156,BRD
SK154100,BRD
SK154068,BRD
SK154074,BRD
SK023223,BRD
SK023232,BRD
SK023233,BRD
SK161361,BRD
SK161360,BRD
SK161357,BRD
SK161368,BRD
SK161362,BRD
SK161358,BRD
SK202808,SEC
SK202815,BRD
SK202805,SEC
SK202802,BRD
SK202813,SEC
SK202811,BRD
SK202803,SEC
SK107050,BRD
SK107046,BRD
SK107051,SEC
SK107055,SEC
SK107054,SEC
SK107052,BRD
SK107057,SEC
SK107053,BRD
SK005370,BRD
SK005368,BRD
SK005364,BRD
SK005372,BRD
SK005369,SEC
SK005360,SEC
SK005371,SEC
SK005363,BRD
SK005361,SEC
SK173851,BRD
SK173850,BRD
SK173846,BRD
SK171598,BRD
SK173853,BRD
SK171596,BRD
SK171593,BRD
SK173844,BRD
SK171597,BRD
SK173848,BRD
SK099542,SEC
SK099552,BRD
SK099550,SEC
SK099551,SEC
SK099547,SEC
SK044118,BRD
SK044119,BRD
SK128752,BRD
SK128761,BRD
SK101090,OCC
SK101096,BRD
SK101101,BRD
SK101092,BRD
SK162244,BRD
SK162250,SEC
SK162247,BRD
SK162254,SEC
SK162258,BRD
SK125748,BRD
SK125738,BRD
SK125739,SEC
SK125743,BRD
SK054066,BRD
SK054070,BRD
SK054068,BRD
SK054072,BRD
SK054067,BRD
SK054104,BRD
SK054103,BRD
SK054107,BRD
